,g-score
jchassis.csv,0.51
doomlegacy.csv,0.58
bzbyte.csv,0.72
fmri-dmt.csv,0.36
v8.csv,0.6
servicestack.csv,0.14
carabiner.csv,0.45
gephex.csv,0.38
mediaportal.csv,0.66
gnome-jabber.csv,0.44
fityk.csv,0.55
mecat.csv,0.75
ngl.csv,0.6
codepurge.csv,0.29
jcl.csv,0.64
bigdata.csv,0.55
salasaga.csv,0.74
ondex.csv,0.53
jas.csv,0.47
qdvdauthor.csv,0.56
gmerlin.csv,0.63
wsmt.csv,0.2
xqilla.csv,0.43
jstock.csv,0.43
poormans.csv,0.55
kolmafia.csv,0.59
synergyspace.csv,0.31
nebuladevice.csv,0.48
findbugs.csv,0.55
qmmp.csv,0.28
wxstudio.csv,0.48
free-evolution.csv,0.37
xapian.csv,0.67
quark.csv,0.65
les-indemodables.csv,0.68
mesa3d.csv,0.56
simplewebservices.csv,0.35
illumination.csv,0.55
wxjs.csv,0.75
ambulant.csv,0.63
kmess.csv,0.64
fleet-simulator.csv,0.16
tradelink.csv,0.41
opendvr.csv,0.49
pi-qmc.csv,0.65
google-gears.csv,0.61
bibletime.csv,0.71
ipfilter.csv,0.74
glelite.csv,0.61
hibernate.csv,0.39
keyczar.csv,0.05
oscarmcmaster.csv,0.62
passwordsafe.csv,0.71
primefaces.csv,0.42
xtreemfs.csv,0.4
pixel-commandos.csv,0.75
open-ms.csv,0.68
pnotepad.csv,0.77
qedo.csv,0.33
tigermud.csv,0.3
mevenide.csv,0.6
xcf.csv,0.45
ninject.csv,0.55
xinity.csv,0.57
xmoto.csv,0.7
coot.csv,0.75
emite.csv,0.27
gss.csv,0.35
icescrum.csv,0.64
