,pf
jchassis.csv,0.83
doomlegacy.csv,0.65
bzbyte.csv,0.39
fmri-dmt.csv,0.39
v8.csv,0.54
servicestack.csv,0.22
carabiner.csv,0.27
gephex.csv,0.2
mediaportal.csv,0.5
gnome-jabber.csv,0.2
fityk.csv,0.32
mecat.csv,0.63
ngl.csv,0.56
codepurge.csv,0.25
jcl.csv,0.64
bigdata.csv,0.41
salasaga.csv,0.62
ondex.csv,0.44
jas.csv,0.81
qdvdauthor.csv,0.42
gmerlin.csv,0.61
wsmt.csv,0.33
xqilla.csv,0.87
jstock.csv,0.16
poormans.csv,0.09
kolmafia.csv,0.28
synergyspace.csv,0.32
nebuladevice.csv,0.49
findbugs.csv,0.42
qmmp.csv,0.15
wxstudio.csv,0.61
free-evolution.csv,0.24
xapian.csv,0.39
quark.csv,0.73
les-indemodables.csv,0.32
mesa3d.csv,0.7
simplewebservices.csv,0.9
illumination.csv,0.38
wxjs.csv,0.63
ambulant.csv,0.26
kmess.csv,0.62
fleet-simulator.csv,0.0
tradelink.csv,0.21
opendvr.csv,0.28
pi-qmc.csv,0.32
google-gears.csv,0.43
bibletime.csv,0.43
ipfilter.csv,0.16
glelite.csv,0.33
hibernate.csv,0.17
keyczar.csv,0.13
oscarmcmaster.csv,0.37
passwordsafe.csv,0.45
primefaces.csv,0.33
xtreemfs.csv,0.51
pixel-commandos.csv,0.24
open-ms.csv,0.57
pnotepad.csv,0.3
qedo.csv,0.62
tigermud.csv,0.33
mevenide.csv,0.7
xcf.csv,0.27
ninject.csv,0.58
xinity.csv,0.65
xmoto.csv,0.5
coot.csv,0.41
emite.csv,0.12
gss.csv,0.05
icescrum.csv,0.34
