,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.58,0.59,0.0,0.0,0.0,0.14,0.1,0.08,0.11,0.4,0.0,0.38,0.0,0.69,0.04
e-bio-flow.csv,0.25,0.32,0.37,0.18,0.09,0.36,0.57,0.0,0.44,0.29,0.15,0.36,0.0,0.21,0.36
haggle.csv,0.56,0.4,0.3,0.24,0.0,0.65,0.47,0.14,0.32,0.52,0.12,0.66,0.0,0.68,0.37
hannosset.csv,0.11,0.13,0.06,0.02,0.0,0.19,0.33,0.0,0.13,0.27,0.36,0.29,0.0,0.49,0.15
jas.csv,0.6,0.41,0.0,0.25,0.05,0.5,0.35,0.08,0.22,0.34,0.06,0.63,0.48,0.66,0.22
jbpm.csv,0.13,0.15,0.0,0.54,0.0,0.2,0.31,0.0,0.09,0.0,0.0,0.04,0.0,0.15,0.13
jgossipforum.csv,0.56,0.43,0.2,0.16,0.0,0.51,0.44,0.37,0.5,0.43,0.0,0.61,0.0,0.39,0.41
joustsim.csv,0.53,0.33,0.19,0.35,0.03,0.68,0.42,0.12,0.64,0.34,0.17,0.7,0.2,0.54,0.44
log4net.csv,0.31,0.18,0.41,0.2,0.26,0.12,0.4,0.0,0.4,0.31,0.15,0.2,0.0,0.14,0.28
madman.csv,0.43,0.44,0.17,0.13,0.0,0.49,0.46,0.12,0.31,0.54,0.07,0.51,0.05,0.34,0.2
ngl.csv,0.53,0.46,0.28,0.26,0.05,0.78,0.56,0.07,0.45,0.31,0.13,0.66,0.13,0.71,0.36
nunit.csv,0.48,0.3,0.27,0.23,0.05,0.7,0.48,0.08,0.14,0.13,0.11,0.5,0.07,0.64,0.51
piccolo2d.csv,0.32,0.46,0.45,0.24,0.21,0.43,0.46,0.0,0.4,0.52,0.1,0.56,0.0,0.35,0.35
sblim.csv,0.49,0.63,0.41,0.33,0.0,0.16,0.52,0.0,0.48,0.29,0.07,0.62,0.0,0.43,0.24
wsmt.csv,0.26,0.33,0.09,0.27,0.04,0.19,0.33,0.0,0.04,0.0,0.0,0.25,0.08,0.81,0.3
