,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.73,0.03,0.79,0.9,0.86,0.89,0.97,0.82,0.59,0.82,0.97,0.88
emulemorph.csv,1.0,0.92,1.0,0.0,1.01,1.0,0.58,0.85,0.96,0.68,1.0,0.84
fulguro.csv,0.88,0.89,1.0,1.0,0.9,0.81,0.93,1.0,1.0,0.72,0.18,1.0
fw4spl.csv,0.64,0.81,0.15,0.94,0.79,0.71,0.62,0.74,0.93,0.69,0.68,0.97
gnome-jabber.csv,0.9,0.66,0.8,0.77,0.7,0.64,0.78,0.4,0.89,0.9,0.7,0.78
ipfilter.csv,0.8,0.84,0.83,0.97,0.54,0.84,0.81,1.01,0.0,0.6,0.7,0.81
ipfire-wall.csv,0.76,0.79,0.76,1.02,0.06,0.84,0.92,0.92,0.68,0.89,0.84,0.75
libmesh.csv,0.69,0.82,0.84,0.64,0.79,0.15,0.89,0.85,0.73,0.74,0.65,1.12
rockbox.csv,0.63,0.62,0.71,0.75,0.73,0.82,0.84,0.84,0.86,0.72,0.81,0.0
soar.csv,0.74,0.8,0.68,0.67,0.97,0.71,0.0,0.81,0.76,0.73,0.72,0.87
tencompetence.csv,0.76,0.94,0.92,0.76,0.68,0.76,0.71,0.97,0.89,0.04,0.75,0.7
xbrlapi.csv,0.03,0.74,0.68,0.74,0.49,0.82,0.79,0.95,0.71,0.66,0.71,0.4
