,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.39,0.44,0.41,0.39,0.36,0.52,0.0,0.43,0.34,0.55,0.42,0.48
emulemorph.csv,0.0,0.91,0.0,0.83,0.75,0.0,0.71,0.94,0.67,0.99,0.86,0.8
fulguro.csv,0.83,0.96,0.96,0.89,0.83,0.94,0.89,0.67,0.0,0.98,0.89,0.0
fw4spl.csv,0.63,0.65,0.98,0.87,0.62,0.92,0.95,0.91,0.63,0.93,0.72,0.79
gnome-jabber.csv,0.36,0.47,0.47,0.39,0.37,0.52,0.33,0.52,0.49,0.5,0.51,0.47
ipfilter.csv,0.45,0.62,0.46,0.41,0.56,0.55,0.36,0.53,0.43,0.51,0.54,0.55
ipfire-wall.csv,0.58,0.68,0.94,0.84,0.53,0.6,0.31,0.86,0.59,0.77,0.75,0.78
libmesh.csv,0.74,0.95,0.93,0.57,0.89,0.82,0.4,0.93,0.83,0.77,0.7,0.94
rockbox.csv,0.5,0.48,0.55,0.7,0.59,0.47,0.75,0.5,0.55,0.56,0.66,0.47
soar.csv,0.45,0.55,0.63,0.56,0.54,0.56,0.52,0.56,0.71,0.52,0.56,0.54
tencompetence.csv,0.83,0.93,0.93,0.61,0.91,0.65,0.45,0.67,0.8,0.62,0.95,0.82
xbrlapi.csv,0.52,0.72,0.6,0.44,0.61,0.44,0.36,0.8,0.61,0.72,0.45,0.53
