,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.62,0.72,0.0,0.0,0.0,0.09,0.16,0.23,0.0,0.53,0.2,0.29,0.0,0.57,0.14
e-bio-flow.csv,0.09,0.26,0.64,0.62,0.64,0.32,0.69,0.0,0.6,0.49,0.27,0.28,0.0,0.13,0.55
haggle.csv,0.58,0.7,0.5,0.42,0.37,0.66,0.52,0.64,0.41,0.89,0.47,0.13,0.0,0.2,0.64
hannosset.csv,0.05,0.11,0.27,0.1,0.38,0.1,0.31,0.0,0.21,0.55,0.83,0.23,0.0,0.0,0.18
jas.csv,0.7,0.74,0.0,0.64,0.32,0.4,0.53,0.75,0.11,0.69,0.2,0.63,0.97,0.65,0.21
jbpm.csv,0.09,0.11,0.0,0.77,0.0,0.17,0.24,0.0,0.11,0.0,0.0,0.02,0.0,0.11,0.12
jgossipforum.csv,0.65,0.61,0.18,0.22,0.0,0.43,0.43,0.99,0.41,0.75,0.0,0.57,0.0,0.35,0.47
joustsim.csv,0.7,0.47,0.27,0.62,0.36,0.56,0.46,0.92,0.91,0.78,0.54,0.65,0.63,0.51,0.62
log4net.csv,0.23,0.27,0.64,0.27,0.97,0.11,0.51,0.0,0.72,0.74,0.57,0.23,0.0,0.24,0.45
madman.csv,0.46,0.54,0.49,0.26,0.66,0.37,0.36,0.0,0.35,0.86,0.66,0.47,0.14,0.41,0.42
ngl.csv,0.45,0.69,0.59,0.64,0.49,0.35,0.57,0.56,0.76,0.67,0.43,0.67,0.63,0.27,0.61
nunit.csv,0.4,0.27,0.49,0.51,0.37,0.52,0.53,0.78,0.4,0.32,0.33,0.43,0.51,0.71,0.67
piccolo2d.csv,0.3,0.4,0.82,0.33,0.7,0.34,0.47,0.0,0.59,0.76,0.51,0.28,0.0,0.17,0.34
sblim.csv,0.68,0.77,0.68,0.47,0.0,0.28,0.55,0.0,0.67,0.65,0.37,0.54,0.0,0.39,0.36
wsmt.csv,0.09,0.45,0.0,0.53,0.0,0.09,0.31,0.24,0.2,0.0,0.0,0.17,0.5,0.78,0.35
