,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.45,0.0,0.17,0.0,0.05,0.2,0.29,0.05,0.46,0.81
aubit4gl.csv,0.56,0.6,0.66,0.4,0.98,0.43,0.29,0.4,0.36,0.46
liferea.csv,0.65,0.36,0.59,0.93,0.3,0.52,0.36,0.53,0.28,0.44
moving-pictures.csv,0.49,0.38,0.39,0.18,0.46,0.3,0.9,0.3,0.32,0.4
opensim4opencog.csv,0.24,0.2,0.17,0.36,0.23,0.89,0.13,0.17,0.16,0.09
plearn.csv,0.94,0.2,0.33,0.18,0.57,0.3,0.28,0.27,0.32,0.49
psrchive.csv,0.17,0.0,0.75,0.1,0.26,0.11,0.0,0.16,0.11,0.37
re2c.csv,0.41,1.0,0.65,0.4,0.57,0.11,0.25,0.5,0.85,0.33
rebecca-aiml.csv,0.26,0.2,0.59,0.27,0.51,0.34,0.29,0.34,1.0,0.52
xfce.csv,0.58,0.6,0.63,0.75,0.45,0.69,0.57,0.98,0.46,0.66
