,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.35,0.0,0.67,0.0,0.67,0.17,0.47,0.78,0.28,1.0
aubit4gl.csv,0.33,0.12,0.22,0.19,1.0,0.15,0.47,0.68,0.18,0.22
liferea.csv,0.45,0.1,0.28,1.0,0.52,0.28,0.56,0.84,0.5,0.29
moving-pictures.csv,0.39,0.22,0.15,0.33,0.55,0.18,0.96,0.85,0.29,0.18
opensim4opencog.csv,0.41,0.5,0.2,0.44,0.46,1.0,0.75,0.89,0.47,0.2
plearn.csv,1.0,0.12,0.19,0.17,0.54,0.17,0.37,0.57,0.38,0.22
psrchive.csv,0.67,0.0,1.0,0.33,0.67,0.18,0.0,0.54,0.71,0.29
re2c.csv,0.42,1.0,0.29,0.19,0.55,0.11,0.5,0.67,0.7,0.12
rebecca-aiml.csv,0.72,0.5,0.28,0.19,0.53,0.12,0.41,0.67,1.0,0.22
xfce.csv,0.3,0.12,0.18,0.32,0.45,0.16,0.49,0.99,0.3,0.23
