,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.32,0.02,0.01,0.0,0.02,0.12,0.26,0.03,0.47,0.0
aubit4gl.csv,0.45,0.57,0.48,0.48,0.0,0.32,0.26,0.39,0.73,0.34
liferea.csv,0.32,0.37,0.28,0.0,0.27,0.17,0.23,0.21,0.1,0.23
moving-pictures.csv,0.29,0.14,0.39,0.09,0.4,0.17,0.03,0.1,0.28,0.37
opensim4opencog.csv,0.12,0.02,0.11,0.11,0.27,0.0,0.03,0.04,0.06,0.06
plearn.csv,0.0,0.14,0.23,0.23,0.65,0.18,0.39,0.42,0.19,0.39
psrchive.csv,0.03,0.02,0.0,0.05,0.12,0.05,0.06,0.25,0.02,0.18
re2c.csv,0.21,0.0,0.29,0.48,0.71,0.1,0.19,0.58,0.15,0.49
rebecca-aiml.csv,0.03,0.02,0.28,0.3,0.79,0.3,0.32,0.34,0.0,0.39
xfce.csv,0.65,0.57,0.65,0.57,0.75,0.62,0.71,0.03,0.4,0.58
