,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.58,0.31,1.0,0.0,0.8,0.33,0.33,0.29,0.2,0.58,0.09,0.04,0.13,0.33,0.8,0.36,0.62
baadengine.csv,0.93,0.06,0.95,0.01,0.73,0.26,0.31,0.28,0.18,0.51,0.12,0.04,0.2,0.21,0.81,0.39,0.8
bibedt.csv,0.97,0.06,0.96,0.02,0.76,0.31,0.42,0.32,0.2,0.82,0.24,0.08,0.4,0.18,0.92,0.47,0.83
exl.csv,0.85,0.06,0.97,0.01,0.72,0.3,0.62,0.26,0.19,0.3,0.18,0.0,0.24,0.1,0.67,0.5,1.0
gdis.csv,0.87,0.04,0.98,0.0,0.63,0.38,0.36,0.24,0.19,0.39,0.12,0.08,0.28,0.16,0.98,0.41,0.84
gogoego.csv,0.82,0.0,0.95,0.05,0.64,0.22,0.5,0.36,0.18,0.49,0.17,0.0,0.27,0.19,0.9,0.67,0.96
httpcontentparser.csv,0.66,0.03,0.98,0.0,0.61,0.12,1.0,0.28,0.19,0.8,0.27,0.03,0.25,0.5,0.0,0.48,0.86
jaxlib.csv,0.85,0.04,0.96,0.0,0.6,0.33,0.58,0.29,0.26,0.39,0.14,0.4,0.36,0.19,1.0,0.5,0.86
jgameai.csv,1.0,0.1,1.0,0.0,0.83,0.41,0.3,0.17,0.17,0.62,0.02,0.09,0.19,0.0,0.56,0.0,0.0
jhotdraw.csv,0.74,0.08,0.98,0.01,0.57,0.31,0.0,0.24,0.45,0.34,0.08,0.03,0.11,0.09,0.77,0.38,0.72
loki-lib.csv,0.85,0.05,0.97,0.01,0.7,0.34,0.38,0.27,0.19,0.46,0.14,0.03,0.24,0.11,0.9,0.58,0.93
patterntesting.csv,0.75,0.07,0.98,0.01,0.61,0.3,0.31,0.24,0.19,0.73,0.11,0.02,0.18,0.1,0.81,0.38,0.76
pokeglobal.csv,0.74,0.09,0.98,0.02,0.78,0.27,0.31,0.32,0.2,0.53,0.14,0.0,0.23,0.24,0.75,0.46,0.81
werx.csv,0.75,0.08,1.0,0.01,0.58,0.3,0.31,0.23,0.18,0.38,0.11,0.04,0.2,0.13,0.81,0.39,0.7
xbg.csv,0.79,0.11,0.0,0.0,0.0,0.0,0.12,0.17,0.06,0.25,0.06,0.0,0.0,0.29,0.0,0.4,0.5
zealos.csv,0.85,0.1,1.0,0.0,1.0,0.42,0.5,0.33,0.24,0.59,0.12,0.0,0.0,0.2,0.9,0.44,0.0
