,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,0.7,0.05,0.8,0.12,0.64,0.03,0.12,0.33,0.52,0.5,0.41
freedom-erp.csv,0.0,0.1,0.0,0.07,0.0,0.0,,0.06,0.14,0.41,0.03,0.07
haggle.csv,0.53,0.3,,0.3,0.13,0.56,0.09,0.24,0.23,0.56,0.11,0.32
javaprofiler.csv,0.75,0.55,0.83,0.67,0.6,1.0,1.0,0.49,0.86,0.89,,0.73
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
jmoney.csv,0.43,0.2,0.29,0.63,0.33,0.04,0.2,0.33,0.15,0.04,0.08,
jsidplay2.csv,0.82,,0.59,0.73,0.35,0.35,0.89,0.73,0.62,0.56,0.64,0.68
madman.csv,0.04,0.4,0.0,0.23,0.03,0.08,0.0,,0.23,0.19,0.11,0.07
matrex.csv,0.29,0.25,0.05,0.3,0.33,,0.36,0.41,0.06,0.04,0.31,0.27
mediate.csv,0.29,0.25,0.32,,0.42,0.89,0.27,0.27,0.94,0.7,0.61,0.27
primefaces.csv,0.94,0.4,1.0,0.83,1.0,0.45,0.09,0.96,0.68,,0.53,0.68
tmva.csv,0.8,0.95,0.9,0.97,,1.0,1.0,0.63,0.74,0.89,0.92,0.76
