,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,0.86,0.88,0.83,0.85,0.65,0.88,0.51,1.05,0.74,0.64,0.48
freedom-erp.csv,1.0,0.52,0.99,0.82,1.0,0.96,,0.75,1.01,0.9,0.97,0.36
haggle.csv,0.65,0.8,,0.68,0.79,0.8,0.98,0.35,1.03,0.66,0.79,0.81
javaprofiler.csv,0.77,0.7,0.83,0.71,0.69,1.0,1.0,0.49,0.86,0.89,,0.76
jchassis.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
jmoney.csv,0.46,0.42,0.61,0.7,0.72,0.84,0.71,0.35,1.01,0.88,0.78,
jsidplay2.csv,0.88,,0.82,0.76,0.5,0.4,0.89,0.78,1.18,0.95,0.83,0.68
madman.csv,1.0,0.89,0.92,0.93,0.94,0.84,1.0,,1.03,0.77,0.72,0.9
matrex.csv,0.53,0.6,0.81,0.49,0.73,,0.56,0.43,1.0,0.95,0.61,0.31
mediate.csv,0.69,0.83,0.6,,0.72,0.96,0.62,0.57,0.94,0.81,0.63,0.75
primefaces.csv,0.94,0.61,1.0,0.85,1.0,0.48,0.95,0.96,0.68,,0.64,0.68
tmva.csv,0.82,0.95,0.91,0.97,,1.0,1.0,0.64,1.25,0.89,0.92,0.76
