,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.09,0.17,0.36,0.0,0.28,0.08,0.55,0.3,0.33,0.23,0.38,0.54,0.45,0.37,0.23,0.29,0.23,0.34,0.38,0.27
bibletime.csv,0.26,0.63,0.6,0.55,0.61,0.7,0.74,0.64,0.78,0.35,0.69,0.5,0.68,0.74,0.82,0.0,0.48,0.5,0.89,0.93
critterding.csv,0.5,0.02,0.36,0.49,0.39,0.4,0.64,0.47,0.67,0.32,0.73,0.46,0.53,0.18,0.66,0.43,0.48,0.43,0.51,0.54
etics.csv,0.17,0.1,0.0,0.5,0.39,0.13,0.76,0.41,0.44,0.42,0.67,0.67,0.74,0.42,0.34,0.71,0.47,0.5,0.33,0.67
fmri-dmt.csv,0.01,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.18,0.02
genecys.csv,0.89,0.98,0.98,0.79,0.96,0.91,0.91,0.99,0.0,0.92,0.89,0.96,0.97,1.0,0.97,1.0,0.91,0.93,0.93,0.95
genoviz.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kftpgrabber.csv,0.39,0.27,0.1,0.32,0.21,0.66,0.17,0.27,0.33,0.1,0.38,0.12,0.02,0.82,0.45,0.43,0.27,0.23,0.53,0.4
kvs.csv,0.46,0.56,0.33,0.2,0.09,0.6,0.0,0.15,0.44,0.09,0.22,0.08,0.05,0.13,0.15,0.0,0.1,0.11,0.24,0.09
mcore3d.csv,0.52,0.44,0.43,0.56,0.04,0.45,0.63,0.74,0.89,0.64,0.47,0.62,0.68,0.39,0.81,0.29,0.42,0.59,0.87,0.71
miranda.csv,0.34,0.27,0.05,0.21,0.19,0.35,0.21,0.27,0.44,0.45,0.42,0.29,0.27,0.47,0.23,0.14,0.38,0.3,0.4,0.0
modplug.csv,0.76,0.61,0.76,0.62,0.81,0.65,0.64,0.54,0.67,0.65,0.82,0.0,0.47,0.45,0.74,0.36,0.49,0.61,0.71,0.89
monetdb.csv,0.4,0.54,0.29,0.33,0.47,0.54,0.26,0.29,0.33,0.02,0.38,0.54,0.4,0.16,0.29,0.5,0.22,0.39,0.62,0.5
netatalk.csv,0.11,0.02,0.05,0.02,0.09,0.14,0.14,0.08,0.22,0.09,0.11,0.04,0.1,0.0,0.23,0.07,0.09,0.07,0.22,0.17
ogrehg.csv,0.25,0.27,0.19,0.17,0.18,0.47,0.16,0.0,0.56,0.37,0.42,0.5,0.34,0.21,0.18,0.43,0.23,0.27,0.49,0.44
passwordsafe.csv,0.43,0.51,0.33,0.24,0.26,0.55,0.28,0.31,0.56,0.26,0.47,0.08,0.26,0.39,0.56,0.36,0.01,0.23,0.44,0.36
projecteqemu.csv,0.1,0.12,0.17,0.15,0.32,0.18,0.09,0.23,0.33,0.13,0.0,0.08,0.15,0.05,0.18,0.14,0.08,0.14,0.44,0.3
reactos-mirror.csv,0.0,0.59,0.95,0.63,0.6,0.55,0.8,0.71,0.44,0.55,0.73,0.71,0.81,0.53,0.87,0.79,0.61,0.73,0.73,0.81
xbplayer.csv,0.12,0.17,0.05,0.09,0.09,0.0,0.07,0.18,0.33,0.06,0.09,0.29,0.11,0.08,0.21,0.07,0.08,0.02,0.38,0.25
xmoto.csv,0.88,0.56,0.6,0.41,0.3,0.64,0.14,0.46,0.44,0.36,0.4,0.29,0.34,0.45,0.73,0.36,0.25,0.0,0.73,0.52
