,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.14,0.25,0.19,0.18,0.05,0.21,0.02,0.64,0.17,0.33,0.35,0.16,0.96,0.4,0.44,0.37
amygdala.csv,0.58,0.05,0.62,0.56,0.01,0.28,0.48,0.27,0.17,0.58,0.06,1.0,0.23,0.47,0.71,0.5
awemud.csv,0.99,0.85,0.44,0.42,0.76,0.58,0.75,0.55,1.0,0.0,0.59,0.53,0.5,0.56,0.73,0.4
bullet.csv,0.67,0.85,0.81,0.24,0.82,1.0,0.83,0.36,0.67,0.67,0.59,0.79,0.72,0.48,0.59,0.47
customwars.csv,0.12,0.46,0.06,0.29,0.26,0.15,0.04,0.45,0.0,0.17,1.0,0.03,0.62,0.24,0.37,0.3
dvd-create.csv,0.81,0.85,0.69,0.76,1.0,0.64,0.92,0.73,0.33,0.75,0.76,0.92,0.37,0.79,0.8,0.4
gbif-indexingtoolkit.csv,0.08,0.13,0.25,0.04,0.07,0.13,0.08,1.0,0.33,0.17,0.47,0.05,0.04,0.16,0.07,0.13
go.csv,0.81,1.0,0.56,0.38,0.64,0.67,0.9,0.36,0.17,0.75,0.82,0.82,0.73,0.75,0.63,0.4
gss.csv,0.88,0.91,0.69,0.73,0.84,0.9,0.85,0.64,1.0,0.83,0.82,0.63,0.96,0.61,0.83,0.97
kwave.csv,0.22,0.63,1.0,0.16,0.45,0.13,0.27,0.45,0.17,0.0,0.47,0.18,0.38,0.32,0.22,0.2
lsb.csv,0.72,0.51,0.69,0.98,0.49,0.69,0.29,0.73,0.83,0.0,0.71,0.5,0.65,0.65,0.76,0.6
mpgravity.csv,0.6,0.57,0.38,0.58,0.43,0.63,0.77,0.82,0.83,0.92,0.71,0.53,0.77,0.73,0.61,0.33
qcad2.csv,0.56,0.76,0.62,0.76,0.69,0.36,0.94,0.45,0.67,0.33,0.59,0.45,0.75,0.64,0.76,0.7
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03
roller.csv,0.36,0.54,0.31,0.69,0.65,0.31,0.46,0.45,0.33,0.33,0.59,0.26,0.75,0.97,0.54,0.33
xinity.csv,0.36,0.67,0.38,0.09,0.84,0.42,0.38,0.45,0.0,0.25,0.71,0.32,0.58,0.36,0.95,0.6
