,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.85,0.93,0.93,0.7,0.78
freenet.csv,1.0,0.86,0.86,0.63,0.99
mediaportal.csv,0.13,0.09,0.08,0.0,0.18
onotoa.csv,0.54,0.57,0.86,0.67,0.75
sqlpower-library.csv,0.87,0.93,0.62,1.0,1.0
