,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.43,0.55,0.49,0.42,0.39,0.39,0.65
freebios.csv,0.52,0.56,0.62,0.6,0.59,0.64,0.65
k3b.csv,0.36,0.42,0.47,0.45,0.64,0.45,0.56
loki-lib.csv,0.42,0.38,0.59,0.4,0.43,0.42,0.62
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.8,0.0
quarkplusplus.csv,0.64,0.91,0.8,0.71,0.65,0.62,0.78
tzod.csv,0.68,0.6,0.92,0.58,0.5,0.6,0.55
