,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.99,0.46,0.4,0.47,0.56,0.67,0.49
freebios.csv,0.58,0.54,0.98,0.58,0.55,0.78,0.33
k3b.csv,0.63,0.61,0.58,1.0,0.66,0.83,0.52
loki-lib.csv,0.62,0.59,0.44,0.62,0.43,0.55,0.97
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0
quarkplusplus.csv,0.38,0.13,0.07,0.2,0.97,0.92,0.28
tzod.csv,0.32,0.94,0.21,0.43,0.29,0.74,0.42
