,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.0,0.11,0.19,0.27,0.18,0.0,0.08,0.17,0.12,0.22,0.15,0.12
bigdata.csv,0.33,0.94,0.42,0.44,0.33,0.25,0.86,0.3,0.94,0.11,0.91,0.36
calcubetimer.csv,0.71,0.89,0.43,0.77,0.65,0.0,0.79,0.55,0.57,0.73,0.54,0.66
jas.csv,0.0,0.02,0.08,0.09,0.01,0.25,0.1,0.03,0.2,0.27,0.0,0.03
jbpm.csv,0.19,0.24,0.36,0.23,0.0,0.25,0.28,0.2,0.02,0.46,0.26,0.18
jgossipforum.csv,0.24,0.11,0.11,0.0,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0
joustsim.csv,0.21,0.2,0.17,0.17,0.1,0.0,0.13,0.0,0.45,0.46,0.64,0.11
madman.csv,0.13,0.16,0.13,0.05,0.08,0.0,0.0,0.05,0.0,0.08,0.01,0.05
mule.csv,0.16,0.02,0.25,0.24,0.32,0.25,0.24,0.13,0.06,0.24,0.13,0.17
nunit.csv,0.14,0.17,0.74,0.73,0.66,0.75,0.11,0.72,0.08,0.41,0.18,0.0
piccolo2d.csv,0.02,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.03,0.01,0.02
sblim.csv,0.33,0.19,0.01,0.05,0.03,0.0,0.02,0.05,0.0,0.03,0.09,0.03
