,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.81,0.14,0.14,0.38,0.23,0.43,0.2,0.27,0.38,0.3,0.12,0.2
bigdata.csv,0.25,0.97,0.18,0.54,0.4,0.43,1.0,0.82,0.75,1.0,1.0,0.6
calcubetimer.csv,0.69,0.94,0.32,1.0,0.87,0.96,1.0,1.0,1.0,0.71,0.88,0.78
jas.csv,0.06,0.06,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.17,0.88,0.02
jbpm.csv,0.38,0.2,0.64,0.15,0.92,0.2,0.2,0.09,0.0,0.4,0.62,0.12
jgossipforum.csv,0.06,0.12,0.32,0.0,0.06,0.02,1.0,0.0,0.38,0.03,0.0,0.0
joustsim.csv,0.06,0.47,0.23,0.08,0.25,0.18,0.4,1.0,0.88,0.61,0.5,0.35
madman.csv,0.19,0.22,0.32,0.15,0.04,0.09,0.0,0.0,1.0,0.09,0.0,0.1
mule.csv,0.31,0.97,0.27,0.54,0.35,0.41,0.4,0.55,0.12,0.44,0.5,0.38
nunit.csv,0.19,0.32,0.86,0.85,0.77,0.77,0.6,0.55,0.12,0.43,0.0,0.82
piccolo2d.csv,0.0,0.03,0.0,0.85,0.12,0.0,0.0,0.0,0.0,0.06,0.0,0.05
sblim.csv,0.31,0.23,1.0,0.23,0.13,0.09,0.0,0.09,0.0,0.04,0.0,0.1
