,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.71,0.77,0.7,0.86,0.76,0.55,0.84,0.81,0.94,0.82,0.97,0.56,0.18
aubit4gl.csv,0.92,0.66,0.84,0.82,0.66,0.93,0.46,0.96,1.0,0.74,0.76,0.46,0.94
bionote.csv,0.77,0.66,0.84,0.82,0.72,0.65,0.97,0.6,0.81,0.9,0.23,0.82,1.01
liferea.csv,0.67,0.58,0.99,0.5,0.59,0.41,0.83,0.5,0.88,0.59,1.0,0.84,0.61
opensim4opencog.csv,0.52,0.63,0.92,0.55,0.52,0.46,0.79,0.5,0.91,0.74,0.62,0.54,0.55
pclasses.csv,0.51,0.23,1.0,0.67,0.86,0.93,0.96,0.59,1.0,0.94,1.01,0.77,0.63
plearn.csv,0.55,0.66,0.98,0.76,0.62,1.0,0.96,0.72,0.88,0.57,0.65,0.88,1.0
psrchive.csv,0.53,0.77,0.2,0.72,0.22,0.69,0.67,0.73,0.83,0.65,0.68,0.76,0.97
re2c.csv,0.66,0.84,0.02,0.77,0.68,0.74,0.72,0.84,0.94,0.67,0.99,0.54,0.23
rebecca-aiml.csv,0.63,1.01,0.5,0.67,0.65,0.68,0.69,0.69,0.82,0.66,0.81,0.21,0.45
thrust.csv,0.74,0.92,0.65,0.73,0.7,0.9,0.57,0.86,0.45,0.74,0.8,0.94,0.61
tzod.csv,0.56,0.79,0.94,0.51,0.62,0.53,0.54,0.66,0.74,0.72,0.77,0.92,0.76
yaprm.csv,0.54,0.68,0.85,0.65,0.53,0.92,0.67,0.75,0.76,0.44,0.78,0.89,1.0
