,zorannt.csv,dvt.csv,bloodycore.csv,dvd-create.csv,gbif-indexingtoolkit.csv,aime.csv,planeshift.csv,mumble.csv,truevision.csv
aime.csv,0.28,0.09,0.13,0.11,0.46,0.29,0.11,0.09,0.14
bloodycore.csv,0.18,0.32,0.25,0.89,0.14,0.26,0.39,0.34,0.15
dvd-create.csv,0.94,0.48,0.69,0.17,0.58,0.29,0.52,0.63,0.59
dvt.csv,0.07,0.21,0.32,0.67,0.14,0.26,0.41,0.22,0.18
gbif-indexingtoolkit.csv,0.48,0.75,0.48,0.33,0.32,0.41,0.87,0.69,0.2
mumble.csv,0.74,0.43,0.55,1.0,0.62,0.59,0.91,0.15,0.8
planeshift.csv,0.81,0.57,0.6,0.5,0.94,0.85,0.24,0.72,0.55
truevision.csv,0.35,0.37,0.51,0.0,0.7,0.18,0.39,0.52,0.24
zorannt.csv,0.2,0.37,0.49,0.06,0.3,0.38,0.67,0.32,0.46
