,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.69,0.6,0.0,0.41,0.66,0.66,0.48,0.92,0.75,0.41,0.78,0.67
dsworkbench.csv,0.25,0.04,0.0,0.0,0.06,0.18,0.39,0.25,0.33,0.07,0.04,0.56
gogoego.csv,0.31,0.29,0.57,0.39,0.09,0.45,0.87,0.58,0.85,0.46,0.02,0.33
jpaul.csv,0.25,0.38,0.0,0.29,0.09,0.0,0.0,0.0,0.11,0.0,0.0,0.0
loki-lib.csv,0.81,0.47,0.0,0.24,0.34,0.47,0.52,0.0,0.19,0.29,0.35,0.78
motu.csv,0.06,0.97,0.86,0.66,0.28,0.24,0.28,0.08,0.85,0.24,0.3,0.11
mp-rechnungs-und-kundenverwaltung.csv,0.0,0.16,0.14,0.8,0.03,0.03,0.11,0.23,0.31,0.1,0.04,0.0
rtrt-on-gpu.csv,0.25,0.36,0.71,0.37,0.16,0.16,0.11,0.08,0.5,0.41,0.22,0.56
scenemonitor.csv,0.69,0.29,0.0,0.17,0.25,0.53,0.7,0.67,0.48,0.34,0.07,0.56
xstore.csv,0.38,0.91,0.29,0.41,0.25,0.66,0.89,0.42,0.66,0.27,0.43,1.0
yarp0.csv,0.5,0.47,0.93,0.39,0.44,0.21,0.35,0.75,0.77,0.37,0.76,0.22
zemljanka.csv,1.0,0.96,1.0,1.0,0.97,0.71,0.76,0.81,0.95,0.98,0.48,0.0
