,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.17,0.0,0.28,0.29,0.63,0.48,0.45,0.83,0.22,0.74,0.24,0.77,0.42
delphilhlplib.csv,0.29,1.0,0.28,0.38,0.09,0.53,0.53,0.28,0.68,0.43,0.72,0.19,0.67
esmf.csv,0.75,1.0,0.57,0.62,0.24,0.6,0.78,0.28,0.72,0.54,0.52,0.48,0.96
gbif-indexingtoolkit.csv,0.43,0.5,0.61,0.94,0.44,0.44,0.51,0.17,0.84,0.54,0.26,0.26,0.42
jgameai.csv,0.03,0.0,0.05,0.24,0.05,0.0,0.06,0.0,0.01,0.0,0.02,0.03,0.03
jsecurity.csv,0.37,0.25,0.32,0.17,0.32,0.22,0.27,0.67,0.24,0.51,0.36,0.77,0.25
libopenmetaverse.csv,1.0,1.0,0.99,1.0,0.95,1.0,1.0,1.0,0.99,0.31,0.98,0.77,1.0
mptvseries.csv,0.49,1.0,0.33,0.24,0.18,0.32,0.18,0.0,0.35,0.37,0.22,0.23,0.4
mule.csv,0.85,0.25,0.14,0.38,0.5,0.39,0.1,0.61,0.54,0.51,0.42,0.32,0.21
piccolo2d.csv,0.28,0.0,0.22,0.21,0.06,0.1,0.1,0.44,0.32,0.23,0.34,0.13,0.37
vars-redux.csv,0.98,1.0,0.62,0.37,0.83,0.95,0.66,1.0,0.65,0.83,0.68,0.77,0.28
werx.csv,0.85,0.0,1.0,1.0,1.0,0.9,0.98,0.94,1.0,1.0,0.82,0.97,0.91
