,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.75,0.42,0.61,0.99,0.94,0.88,0.86,0.92,0.54,0.96
flylegacy.csv,0.37,0.42,0.38,0.43,0.37,0.7,0.58,0.38,0.56,0.43
ftm.csv,0.9,0.83,0.49,0.61,0.81,0.66,0.63,0.44,0.55,0.45
jcache.csv,0.71,0.5,0.34,0.73,0.75,0.95,0.67,0.5,0.9,0.42
lphant.csv,0.45,0.48,0.62,0.47,0.51,0.62,0.47,0.52,0.44,0.42
minig.csv,0.4,0.45,0.38,0.38,0.36,0.56,0.46,0.4,0.54,0.46
mob-sen-plat.csv,0.74,0.36,0.76,0.82,0.94,0.5,0.64,0.52,0.97,0.94
raygina.csv,0.56,0.67,0.66,0.54,0.54,0.84,0.55,0.43,0.52,0.69
upp-mirror.csv,0.5,0.83,0.4,0.73,0.46,0.86,0.44,0.67,0.5,0.8
yarp.csv,0.52,0.88,0.34,0.53,0.66,0.61,0.67,0.47,0.48,0.67
