,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.96,0.93,0.63,0.04,0.84,0.86,0.93,0.92,0.81,1.13
flylegacy.csv,0.61,0.69,0.05,0.61,0.55,0.74,0.54,0.69,0.63,0.45
ftm.csv,0.85,0.85,0.62,0.62,0.72,0.71,0.65,0.44,0.13,0.34
jcache.csv,0.78,0.94,0.73,0.72,0.97,0.79,0.96,0.69,0.92,0.03
lphant.csv,0.83,0.73,0.6,0.67,0.72,0.56,0.83,0.03,0.83,0.56
minig.csv,0.62,0.96,0.7,0.76,0.85,0.07,0.75,0.75,0.7,0.49
mob-sen-plat.csv,0.81,0.0,0.82,0.9,0.98,0.82,0.63,0.82,0.89,0.72
raygina.csv,0.05,0.97,0.72,0.6,0.63,0.71,0.73,0.56,0.68,0.68
upp-mirror.csv,0.64,0.88,0.59,0.54,0.02,0.72,0.78,0.6,0.65,0.77
yarp.csv,0.65,0.79,0.55,0.62,0.72,0.73,0.04,0.55,0.59,0.83
