,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.04,0.76,0.43,0.96,0.17,0.24,0.08,0.14,0.69,0.03
flylegacy.csv,0.76,0.76,1.0,0.8,0.75,0.28,0.56,0.82,0.56,0.56
ftm.csv,0.16,0.15,0.49,0.44,0.3,0.35,0.4,0.68,0.87,0.71
jcache.csv,0.24,0.06,0.75,0.31,0.03,0.22,0.04,0.45,0.08,0.97
lphant.csv,0.48,0.58,0.41,0.53,0.62,0.48,0.76,1.0,0.85,0.47
minig.csv,0.72,0.67,0.84,0.71,0.83,0.93,0.36,0.82,0.46,0.53
mob-sen-plat.csv,0.32,1.0,0.35,0.17,0.06,0.37,0.44,0.36,0.16,0.29
raygina.csv,0.96,0.03,0.38,0.51,0.41,0.3,0.36,0.55,0.66,0.32
upp-mirror.csv,0.44,0.12,0.54,0.5,1.0,0.28,0.28,0.41,0.46,0.24
yarp.csv,0.44,0.21,0.76,0.56,0.33,0.37,0.96,0.68,0.57,0.53
