,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.53,0.77,0.54,0.73
jajuk.csv,0.73,0.77,0.66,0.67
vapor.csv,0.02,0.59,0.19,0.07
zorannt.csv,0.18,0.26,0.31,0.12
