,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.58,0.9,0.89,0.51,0.9,0.7,0.94,0.92,0.89,0.47,0.94,0.75,0.89,0.67,0.94,0.87,0.57,0.44,0.96,0.67
cuberok.csv,0.62,0.5,0.45,0.9,0.37,0.48,0.35,0.42,0.48,0.57,0.97,0.49,0.37,0.6,0.45,0.55,0.49,0.88,0.64,0.41
emisview.csv,0.0,0.5,0.55,0.0,0.92,0.8,0.65,0.67,0.5,0.0,0.96,0.5,0.53,0.5,0.85,0.55,0.0,0.8,0.67,0.67
jas.csv,0.78,0.76,0.0,0.0,0.8,0.77,0.54,0.53,0.62,0.91,0.74,0.0,0.69,0.8,0.88,0.95,0.0,0.58,0.93,0.91
jatlas.csv,0.5,0.8,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.39,0.47,0.59,0.46,0.53,0.86,0.49,0.48,0.88,0.4,0.84,0.86,0.47,0.89,0.93,0.46,0.47,0.38,0.48,0.37
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,0.86,0.5,0.0,0.0,0.0,0.75,0.0,0.5,0.77,0.0,0.83,0.0,0.0,0.0,0.75,0.0,0.5,0.83,0.0,0.0
jrefactory.csv,0.83,0.63,0.69,0.45,0.55,0.73,0.41,0.56,0.67,0.6,0.75,0.49,0.37,0.63,0.55,0.64,0.93,0.62,0.46,0.38
kdenlive.csv,0.44,0.47,0.48,0.48,0.42,0.49,0.39,0.36,0.42,0.41,0.53,0.52,0.39,0.48,0.52,0.41,0.52,0.39,0.52,0.33
m-m-m.csv,0.4,0.45,0.63,0.46,0.39,0.45,0.45,0.49,0.45,0.38,0.48,0.45,0.37,0.52,0.5,0.53,0.5,0.44,0.41,0.38
octet.csv,0.9,0.57,0.44,0.8,0.37,0.76,0.29,0.35,0.62,0.93,0.58,0.86,0.34,0.5,0.56,0.39,0.92,0.94,0.65,0.47
opendvr.csv,0.9,0.5,0.58,0.82,0.42,0.56,0.32,0.38,0.8,0.72,0.53,0.5,0.35,0.62,0.46,0.54,0.83,0.63,0.47,0.5
opennms.csv,0.62,0.71,0.67,0.8,0.89,0.83,0.83,0.72,0.6,0.63,0.84,0.67,0.9,0.83,0.8,0.91,0.83,0.57,0.92,0.75
poormans.csv,0.76,0.6,0.35,0.86,0.45,0.75,0.35,0.44,0.88,0.61,0.92,0.75,0.44,0.83,0.91,0.71,0.92,0.8,0.88,0.56
power-architect.csv,0.81,0.46,0.56,0.75,0.42,0.48,0.36,0.42,0.46,0.66,0.61,0.51,0.41,0.58,0.46,0.51,0.63,0.84,0.55,0.36
rohxel.csv,0.4,0.42,0.6,0.41,0.39,0.43,0.31,0.39,0.44,0.38,0.76,0.5,0.33,0.56,0.78,0.47,0.42,0.38,0.52,0.42
synecdoche.csv,0.67,0.55,0.57,0.52,0.44,0.65,0.47,0.52,0.85,0.49,0.67,0.56,0.44,0.56,0.54,0.71,0.6,0.62,0.49,0.38
thedata.csv,0.56,0.89,0.8,0.47,0.9,0.86,0.75,0.95,0.86,0.39,0.68,0.82,0.93,0.88,0.86,0.94,0.73,0.33,0.88,0.75
x-ray-mule.csv,0.48,0.59,0.79,0.69,0.77,0.65,0.7,0.64,0.67,0.82,0.69,0.6,0.67,0.92,0.68,0.84,0.58,0.68,0.6,0.68
