,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.53,0.19,0.59,0.7,0.43,0.52,0.77,0.7,0.66,0.41,0.69,0.25,0.76,0.34,0.48,0.33,0.49,0.38
doomlegacy.csv,0.68,0.0,0.55,0.4,0.52,0.44,0.69,0.1,0.34,0.41,0.6,0.23,0.78,0.24,0.44,0.39,0.55,0.17
elmo.csv,0.63,0.28,0.56,0.37,0.5,0.56,0.73,0.65,0.64,0.4,0.6,0.25,0.75,0.4,0.61,0.34,0.53,0.41
geochat.csv,0.19,0.12,0.38,0.57,0.19,0.14,0.29,0.4,0.39,0.2,0.03,0.0,0.26,0.3,0.17,0.2,0.19,0.47
gpac.csv,0.43,0.14,0.51,0.65,0.22,0.43,0.66,0.7,0.65,0.39,0.45,0.22,0.38,0.27,0.44,0.32,0.37,0.38
illumination.csv,0.0,0.12,0.19,0.51,0.0,0.55,0.06,0.0,0.0,0.26,0.49,0.13,0.0,0.68,0.45,0.0,0.0,0.31
ktc.csv,0.72,0.15,0.62,0.28,0.6,0.43,0.53,0.62,0.59,0.41,0.38,0.28,0.71,0.28,0.71,0.35,0.46,0.31
neoengine.csv,0.56,0.13,0.61,0.62,0.4,0.54,0.69,0.72,0.68,0.47,0.27,0.25,0.77,0.33,0.64,0.34,0.47,0.43
nicepress.csv,0.54,0.15,0.55,0.51,0.51,0.7,0.74,0.67,0.64,0.32,0.64,0.27,0.53,0.3,0.41,0.35,0.5,0.41
omseek.csv,0.43,0.0,0.23,0.0,0.35,0.1,0.23,0.07,0.18,0.32,0.22,0.39,0.1,0.25,0.24,0.22,0.43,0.17
open-ms.csv,0.65,0.12,0.56,0.49,0.55,0.4,0.54,0.22,0.33,0.25,0.27,0.28,0.78,0.32,0.59,0.39,0.45,0.13
pi-qmc.csv,0.51,0.13,0.57,0.73,0.42,0.56,0.61,0.66,0.65,0.3,0.54,0.2,0.71,0.33,0.7,0.36,0.45,0.38
rosegarden.csv,0.73,0.14,0.55,0.49,0.62,0.55,0.61,0.65,0.48,0.33,0.45,0.23,0.82,0.08,0.43,0.36,0.52,0.19
smarttag.csv,0.67,0.12,0.57,0.68,0.48,0.6,0.6,0.55,0.29,0.5,0.66,0.21,0.79,0.35,0.58,0.33,0.53,0.39
sylpheed-claws.csv,0.59,0.13,0.56,0.73,0.44,0.51,0.72,0.63,0.68,0.42,0.63,0.2,0.85,0.35,0.43,0.34,0.59,0.35
tango-cs.csv,0.62,0.29,0.56,0.69,0.51,0.55,0.7,0.64,0.64,0.4,0.65,0.22,0.72,0.37,0.67,0.35,0.57,0.42
xemeiah.csv,0.6,0.13,0.58,0.55,0.51,0.59,0.71,0.68,0.66,0.41,0.75,0.27,0.51,0.0,0.48,0.34,0.54,0.3
zscreen.csv,0.63,0.13,0.58,0.78,0.48,0.5,0.68,0.39,0.44,0.43,0.61,0.25,0.63,0.19,0.39,0.35,0.48,0.32
