,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.62,0.55,0.54,0.84,0.84,0.97,0.35,1.0,0.95,0.93,0.67,0.62,0.67,0.75,0.79,0.8,0.7,0.9
doomlegacy.csv,0.47,1.0,0.99,0.74,0.58,0.66,0.97,0.95,0.79,0.95,0.64,0.78,0.5,0.77,1.0,0.58,0.93,0.88
elmo.csv,0.5,0.36,0.52,0.78,0.57,0.49,0.63,0.73,0.54,0.8,0.56,0.57,0.61,0.59,0.38,0.68,0.76,0.71
geochat.csv,0.9,0.87,0.8,0.71,0.86,0.92,0.82,0.8,0.85,0.86,0.99,1.0,0.87,0.68,1.03,0.81,0.89,0.51
gpac.csv,0.76,0.88,0.57,0.74,0.84,0.65,0.85,0.45,0.95,0.85,0.73,0.65,0.81,0.79,0.83,0.65,0.76,0.71
illumination.csv,1.0,0.87,0.88,0.92,1.0,0.63,0.97,1.0,1.0,0.81,0.67,0.82,1.0,0.27,0.96,1.0,1.0,0.71
ktc.csv,0.33,0.66,0.46,0.83,0.39,0.65,0.61,0.71,0.55,0.61,0.74,0.53,0.55,0.72,0.3,0.62,0.73,0.75
neoengine.csv,0.53,0.99,0.45,0.57,0.66,0.54,0.53,0.91,0.62,0.56,0.83,0.57,0.7,0.68,0.35,0.74,0.64,0.54
nicepress.csv,0.61,0.84,0.99,0.74,0.59,0.33,0.54,0.96,0.99,0.77,0.47,0.58,0.64,0.68,0.92,0.83,0.67,0.64
omseek.csv,0.71,1.0,0.87,1.0,0.78,0.95,0.87,0.97,0.89,0.71,0.87,0.44,0.95,0.83,0.86,0.86,0.69,0.9
open-ms.csv,0.48,0.71,0.52,0.67,0.45,0.69,0.74,0.88,0.79,0.81,0.84,0.5,0.5,0.67,0.39,0.56,0.83,0.91
pi-qmc.csv,0.64,1.0,0.7,0.67,0.61,0.49,0.56,1.0,0.98,0.77,0.65,0.83,0.86,0.85,0.31,0.62,0.73,0.71
rosegarden.csv,0.37,0.67,0.95,0.66,0.38,0.51,0.81,0.56,0.65,0.73,0.68,0.73,0.71,0.95,0.75,0.82,0.9,0.85
smarttag.csv,0.56,0.71,0.54,0.61,0.57,0.45,0.64,0.63,0.82,0.49,0.6,0.68,0.72,0.72,0.51,0.73,0.81,0.62
sylpheed-claws.csv,0.88,1.0,0.91,1.0,0.91,1.0,0.89,0.63,0.45,0.9,1.0,1.0,1.0,0.95,0.98,0.98,0.8,0.65
tango-cs.csv,0.56,0.35,0.61,0.54,0.59,0.84,0.53,0.73,0.51,0.67,0.5,0.75,0.61,0.71,0.33,0.68,0.52,0.77
xemeiah.csv,0.49,0.81,0.76,0.61,0.52,0.6,0.88,0.69,0.74,0.93,0.35,0.64,0.68,1.01,0.54,0.63,0.82,0.72
zscreen.csv,0.54,0.81,0.55,0.36,0.61,0.73,0.82,0.74,0.69,0.7,0.74,0.57,0.66,0.9,0.67,0.66,0.78,0.71
