,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.48,0.75,0.52,0.91,0.47,0.8,0.53,0.51,0.5,0.94,0.58,0.52,0.48,0.53
avifile.csv,0.8,0.67,0.67,0.0,0.0,0.88,0.92,0.8,0.93,0.95,0.94,0.96,0.88,0.9
delphilhlplib.csv,0.55,0.49,0.65,0.65,0.42,0.39,0.47,0.52,0.47,0.52,0.64,0.75,0.6,0.59
fluidium.csv,0.52,0.65,0.9,0.91,0.84,0.53,0.65,0.92,0.58,0.86,0.66,0.88,0.78,0.64
gnome-jabber.csv,0.39,0.38,0.3,0.57,0.38,0.35,0.43,0.4,0.37,0.39,0.5,0.52,0.35,0.45
ipfilter.csv,0.47,0.42,0.3,0.55,0.52,0.95,0.51,0.48,0.61,0.55,0.49,0.54,0.44,0.5
jparsec.csv,0.46,0.42,0.33,0.55,0.66,0.39,0.51,0.49,0.46,0.58,0.48,0.52,0.42,0.71
loki-lib.csv,0.52,0.36,0.38,0.52,0.67,0.37,0.48,0.42,0.42,0.41,0.62,0.46,0.38,0.47
mumble.csv,0.89,0.5,0.41,0.42,0.44,0.72,0.8,0.89,0.62,0.88,0.8,0.71,0.45,0.75
opengs.csv,0.88,0.62,0.48,0.64,0.88,0.63,0.43,0.58,0.64,0.62,0.89,0.92,0.56,0.78
owfs.csv,0.8,0.91,0.65,0.83,0.8,0.86,0.5,0.83,0.86,0.71,0.86,0.91,0.86,0.5
rectracker.csv,0.44,0.39,0.41,0.58,0.42,0.38,0.45,0.41,0.38,0.43,0.44,0.6,0.38,0.46
rockbox.csv,0.48,0.44,0.32,0.45,0.41,0.47,0.44,0.61,0.39,0.39,0.52,0.33,0.41,0.45
zealos.csv,0.54,0.48,0.4,0.67,0.38,0.51,0.61,0.66,0.56,0.73,0.51,0.63,0.73,0.72
