,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.24,0.15,0.16,0.59,0.0,0.25,0.26,0.0,0.12,0.25,0.0,0.05,0.21
empserver.csv,0.65,0.26,0.31,0.38,0.0,0.46,0.11,0.12,0.36,0.7,0.14,0.68,0.71
emulemorph.csv,0.09,0.0,0.0,0.03,0.0,0.02,0.0,0.18,0.0,0.25,0.0,0.0,0.3
google-web-toolkit.csv,0.62,0.11,0.35,0.3,0.0,0.41,0.11,0.14,0.44,0.41,0.14,0.66,0.69
htmlunit.csv,0.58,0.17,0.47,0.4,0.03,0.54,0.34,0.11,0.44,0.57,0.28,0.52,0.49
jaxen.csv,0.57,0.3,0.3,0.37,0.01,0.48,0.53,0.1,0.49,0.59,0.16,0.51,0.68
jguard.csv,0.56,0.16,0.24,0.48,0.01,0.51,0.11,0.14,0.58,0.61,0.26,0.65,0.53
kowari.csv,0.36,0.21,0.32,0.21,0.0,0.53,0.14,0.12,0.43,0.45,0.36,0.36,0.49
maidsafe-dht.csv,0.42,0.2,0.52,0.28,0.0,0.53,0.11,0.12,0.42,0.67,0.19,0.63,0.43
mimosa.csv,0.65,0.15,0.35,0.42,0.0,0.51,0.11,0.11,0.49,0.67,0.29,0.79,0.63
vdsf.csv,0.69,0.27,0.29,0.43,0.0,0.4,0.03,0.07,0.5,0.66,0.07,0.52,0.62
xbrlapi.csv,0.67,0.0,0.08,0.32,0.0,0.31,0.12,0.17,0.38,0.0,0.04,0.58,0.44
