,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.71,0.21,0.0,0.13,0.52,0.59,0.26,0.0,0.34,0.0,0.34
ivef-sdk.csv,0.62,0.71,1.0,0.5,0.41,0.36,0.37,0.72,0.63,0.0,0.2
jaolt.csv,0.68,0.65,0.12,0.62,0.63,0.37,0.18,0.63,0.2,0.56,0.46
jmule.csv,0.59,0.63,0.11,0.47,0.67,0.44,0.79,0.61,0.3,0.57,0.87
jstock.csv,0.53,0.67,0.15,0.61,0.4,0.55,0.84,0.59,0.17,0.7,0.1
lphant.csv,0.75,0.69,0.16,0.62,0.6,0.69,0.66,0.62,0.58,0.53,0.64
novembre.csv,0.39,0.73,0.0,0.36,0.45,0.36,0.47,0.06,0.16,0.0,0.57
oorexx.csv,0.49,0.45,0.05,0.23,0.46,0.36,0.51,0.55,0.3,0.7,0.54
pi-qmc.csv,0.66,0.59,0.1,0.33,0.34,0.5,0.52,0.83,0.35,0.54,0.62
qedo.csv,0.14,0.16,0.9,0.1,0.13,0.17,0.45,0.16,0.77,0.29,0.29
yaprm.csv,0.71,0.65,0.15,0.68,0.18,0.22,0.53,0.46,0.63,0.61,0.52
