,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.39,0.0,0.39,0.0,0.45
mediaportal.csv,0.56,0.69,0.83,0.58,0.65
poormans.csv,0.45,0.97,0.8,0.39,0.44
smartgwt.csv,0.69,0.42,0.39,0.59,0.49
sqlpower-library.csv,0.38,0.67,0.35,0.37,0.46
