,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.51,0.83,0.0,0.35,0.46,0.53,0.0,0.0,0.41,0.71,0.89,0.0,0.78,0.83,0.0,0.0
codepurge.csv,0.36,0.32,0.41,0.38,0.32,0.4,0.54,0.3,0.93,0.29,0.54,0.4,0.83,0.63,0.45,0.42,0.81
fontforge.csv,0.43,0.29,0.41,0.38,0.33,0.34,0.37,0.44,0.43,0.36,0.43,0.42,0.48,0.41,0.37,0.41,0.36
glas.csv,0.4,0.39,0.48,0.45,0.37,0.53,0.41,0.31,0.41,0.35,0.47,0.39,0.48,0.58,0.37,0.35,0.39
gmerlin.csv,0.0,0.3,0.38,0.37,0.0,0.32,0.36,0.0,0.38,0.0,0.37,0.34,0.46,0.4,0.0,0.45,0.38
hatari.csv,0.44,0.45,0.56,0.43,0.39,0.47,0.46,0.28,0.42,0.34,0.51,0.44,0.56,0.81,0.43,0.78,0.77
jcl.csv,0.56,0.42,0.49,0.88,0.46,0.48,0.44,0.48,0.47,0.6,0.42,0.96,0.75,0.53,0.51,0.6,0.55
ltp.csv,0.9,0.39,0.46,0.5,0.49,0.43,0.42,0.62,0.55,0.62,0.55,0.78,0.55,0.44,0.43,0.91,0.46
mia.csv,0.64,0.75,0.57,0.41,0.95,0.82,0.63,0.38,0.55,0.33,0.52,0.8,0.75,0.83,0.55,0.89,0.71
net-snmp.csv,0.54,0.58,0.68,0.45,0.43,0.65,0.79,0.28,0.41,0.45,0.5,0.51,0.48,0.62,0.77,0.65,0.56
opde.csv,0.4,0.45,0.42,0.68,0.33,0.41,0.65,0.3,0.51,0.0,0.43,0.4,0.9,0.58,0.45,0.43,0.55
oppna-program-hsatools.csv,0.36,0.38,0.4,0.37,0.36,0.44,0.45,0.29,0.42,0.35,0.43,0.41,0.74,0.96,0.34,0.41,0.52
powerfolder-.csv,0.35,0.59,0.53,0.36,0.91,0.75,0.42,0.33,0.36,0.38,0.51,0.33,0.56,0.9,0.36,0.34,0.45
qlc.csv,0.0,0.31,0.0,0.51,0.37,0.51,0.71,0.0,0.49,0.8,0.91,0.42,0.56,0.93,0.53,0.0,0.89
quantlib.csv,0.4,0.0,0.0,0.0,0.33,0.94,0.0,0.29,0.88,0.37,0.0,0.86,0.0,0.0,0.37,0.37,0.61
tcl.csv,0.58,0.48,0.68,0.43,0.7,0.67,0.56,0.0,0.86,0.46,0.63,0.56,0.56,0.98,0.0,0.94,0.48
