,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.4,0.18,0.42,0.37,0.23,0.19,0.36,0.29,0.41,0.3,0.14,0.39,0.23,0.47,0.36,0.37,0.37,0.35
fontforge.csv,0.35,0.25,0.35,0.36,0.32,0.22,0.32,0.2,0.29,0.32,0.26,0.34,0.19,0.21,0.35,0.37,0.29,0.3
glas.csv,0.25,0.28,0.17,0.16,0.26,0.28,0.23,0.22,0.17,0.19,0.3,0.23,0.25,0.23,0.21,0.22,0.23,0.21
gmerlin.csv,0.4,0.25,0.26,0.37,0.33,0.24,0.36,0.29,0.39,0.37,0.35,0.36,0.35,0.47,0.37,0.37,0.13,0.18
hannosset.csv,0.36,0.3,0.4,0.37,0.33,0.36,0.34,0.29,0.41,0.37,0.38,0.4,0.35,0.47,0.36,0.36,0.23,0.35
hatari.csv,0.33,0.28,0.23,0.27,0.32,0.27,0.3,0.24,0.41,0.29,0.28,0.38,0.33,0.4,0.33,0.37,0.26,0.29
jaolt.csv,0.25,0.27,0.17,0.2,0.26,0.22,0.23,0.24,0.2,0.22,0.35,0.31,0.31,0.12,0.16,0.22,0.19,0.19
jcl.csv,0.26,0.16,0.28,0.37,0.3,0.17,0.21,0.27,0.24,0.34,0.16,0.4,0.34,0.47,0.33,0.35,0.36,0.34
ltp.csv,0.33,0.3,0.4,0.27,0.33,0.31,0.34,0.24,0.34,0.29,0.37,0.25,0.34,0.16,0.37,0.31,0.19,0.36
mia.csv,0.3,0.31,0.22,0.16,0.32,0.31,0.11,0.16,0.3,0.23,0.3,0.39,0.33,0.47,0.37,0.14,0.23,0.29
net-snmp.csv,0.26,0.23,0.22,0.26,0.28,0.35,0.26,0.29,0.36,0.25,0.38,0.34,0.29,0.42,0.17,0.21,0.26,0.24
opde.csv,0.4,0.21,0.42,0.27,0.33,0.26,0.23,0.27,0.29,0.35,0.22,0.39,0.25,0.41,0.24,0.36,0.18,0.22
oppna-program-hsatools.csv,0.32,0.22,0.32,0.37,0.33,0.23,0.36,0.27,0.39,0.37,0.35,0.4,0.35,0.32,0.32,0.37,0.3,0.33
powerfolder-.csv,0.37,0.16,0.28,0.37,0.32,0.24,0.32,0.2,0.38,0.33,0.33,0.4,0.18,0.38,0.2,0.35,0.32,0.26
qlc.csv,0.4,0.18,0.42,0.37,0.33,0.25,0.36,0.29,0.41,0.37,0.35,0.39,0.28,0.47,0.37,0.2,0.37,0.36
quantlib.csv,0.4,0.19,0.11,0.21,0.33,0.15,0.25,0.29,0.15,0.37,0.17,0.13,0.2,0.17,0.28,0.37,0.37,0.3
tcl.csv,0.33,0.31,0.4,0.36,0.33,0.36,0.36,0.29,0.4,0.27,0.39,0.4,0.35,0.47,0.37,0.37,0.28,0.35
