,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.18,0.38,0.1,0.39,0.5,0.01,0.34,0.39,0.31,0.21,0.23,0.67,0.2,0.22,0.39,0.05,0.35
biopax.csv,0.64,0.75,0.78,0.82,0.56,0.57,0.66,0.75,0.66,0.9,0.88,0.33,0.41,0.54,0.57,0.05,0.87
ffigo.csv,0.53,0.37,0.29,0.42,0.27,0.37,0.45,0.59,0.55,0.37,0.4,0.67,0.0,0.3,0.65,0.15,0.23
freebios.csv,0.49,0.18,0.02,0.25,0.29,0.24,0.36,0.24,0.39,0.14,0.54,0.33,0.55,0.34,0.43,0.15,0.23
glelite.csv,1.0,1.0,1.0,0.96,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.0,0.95,0.99,1.0,1.0,1.0
gnupdate.csv,0.53,0.09,0.35,0.4,0.01,0.26,0.3,0.48,0.41,0.18,0.47,0.0,0.39,0.26,0.35,0.1,0.45
go.csv,0.0,0.53,0.65,0.6,0.42,0.57,0.53,0.52,0.51,0.86,0.5,0.0,0.39,0.45,0.5,0.2,0.74
gstreamer.csv,0.42,0.59,0.39,0.49,0.65,0.57,0.38,0.53,0.42,0.47,0.53,0.0,0.39,0.03,0.46,0.05,0.58
metacosm.csv,0.58,0.14,0.24,0.31,0.21,0.61,0.06,0.43,0.4,0.11,0.3,0.67,0.45,0.48,0.28,0.45,0.0
pcsx2.csv,0.51,0.39,0.55,0.22,0.62,0.53,0.77,0.73,0.01,0.48,0.09,0.0,0.18,0.51,0.2,0.05,0.45
pgui.csv,0.09,0.12,0.08,0.27,0.1,0.15,0.09,0.0,0.19,0.39,0.14,0.0,0.23,0.14,0.22,0.25,0.29
qse.csv,0.13,0.3,0.29,0.58,0.26,0.33,0.0,0.19,0.28,0.39,0.3,0.0,0.16,0.15,0.43,0.05,0.42
rebecca-aiml.csv,0.64,0.09,0.29,0.43,0.05,0.07,0.36,0.39,0.48,0.0,0.29,0.0,0.5,0.52,0.5,0.55,0.29
skia.csv,0.04,0.21,0.12,0.16,0.31,0.2,0.13,0.25,0.18,0.08,0.32,0.0,0.02,0.19,0.0,0.3,0.13
vars-redux.csv,0.13,0.13,0.22,0.0,0.34,0.26,0.28,0.3,0.17,0.41,0.06,0.0,0.14,0.19,0.2,0.0,0.23
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
yale.csv,0.71,0.0,0.41,0.51,0.3,0.77,0.53,0.47,0.62,0.16,0.64,0.33,0.73,0.57,0.65,0.85,0.32
