,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.47,0.46,0.18,0.63,0.55,0.95,0.46,0.62,0.61,0.26,0.0,0.4,0.41,0.5,0.61,0.34,0.41
biopax.csv,0.76,0.83,0.63,0.96,0.85,0.75,0.97,0.83,0.91,0.59,1.0,0.71,0.67,0.82,0.91,1.0,0.93
ffigo.csv,0.61,0.44,0.35,0.55,0.2,0.44,0.6,0.81,0.69,0.41,0.5,0.51,0.95,0.62,0.57,0.42,0.67
freebios.csv,0.52,0.31,0.96,0.49,0.05,0.29,0.46,0.45,0.5,0.61,0.88,0.35,0.53,0.41,0.43,0.18,0.44
glelite.csv,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.96,1.0,1.0,1.0,0.99,1.0,1.0,0.97,1.0
gnupdate.csv,0.48,0.24,0.51,0.45,0.95,0.38,0.69,0.66,0.59,0.46,0.38,0.33,0.45,0.43,0.52,0.41,0.78
go.csv,0.99,0.77,0.45,0.71,0.7,0.62,0.77,0.79,0.78,0.54,0.12,0.54,0.66,0.71,0.7,0.56,0.67
gstreamer.csv,0.73,0.68,0.37,0.78,0.6,0.62,0.63,0.74,0.69,0.41,0.12,0.45,0.66,0.97,0.57,0.46,0.74
metacosm.csv,0.46,0.21,0.53,0.41,0.35,0.5,0.37,0.51,0.47,0.54,0.62,0.33,0.46,0.57,0.22,0.38,0.93
pcsx2.csv,0.72,0.61,0.47,0.57,1.0,0.71,0.94,0.87,0.99,0.41,0.0,0.29,0.36,0.75,0.3,0.27,0.67
pgui.csv,0.28,0.23,0.14,0.37,0.5,0.2,0.46,0.96,0.39,0.26,0.0,0.15,0.16,0.19,0.26,0.24,0.48
qse.csv,0.47,0.52,0.22,0.61,0.85,0.46,0.97,0.51,0.64,0.5,0.12,0.35,0.32,0.45,0.39,0.52,0.7
rebecca-aiml.csv,0.44,0.14,0.65,0.57,0.2,0.12,0.4,0.3,0.45,0.98,0.62,0.31,0.41,0.41,0.26,0.49,0.48
skia.csv,0.14,0.27,0.06,0.1,0.1,0.28,0.26,0.4,0.27,0.17,0.5,0.19,0.11,0.19,0.91,0.1,0.11
vars-redux.csv,0.35,0.3,0.22,0.98,0.4,0.36,0.37,0.45,0.41,0.11,0.0,0.11,0.11,0.36,0.35,0.23,0.56
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yale.csv,0.47,0.88,0.59,0.35,0.35,0.72,0.29,0.4,0.36,0.83,1.0,0.51,0.53,0.43,0.57,0.42,0.33
