,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.82,0.18,0.64,0.54,0.2,0.99,0.5,0.38,0.79,0.33,0.0,0.97,0.78,0.76,0.44,0.96,0.5
biopax.csv,0.67,0.16,0.44,0.46,0.26,0.69,0.52,0.3,0.73,0.21,0.09,0.99,0.74,0.67,0.45,0.99,0.48
ffigo.csv,0.67,0.18,0.53,0.49,0.15,0.66,0.5,0.35,0.71,0.31,0.1,0.97,1.0,0.73,0.3,0.91,0.72
freebios.csv,0.65,0.23,0.98,0.59,0.04,0.67,0.48,0.42,0.71,0.65,0.12,0.98,0.62,0.62,0.33,0.81,0.63
glelite.csv,0.64,0.15,0.49,0.43,0.19,0.62,0.43,0.28,0.65,0.29,0.08,1.0,0.64,0.58,0.33,0.78,0.47
gnupdate.csv,0.61,0.32,0.58,0.45,0.95,0.71,0.63,0.35,0.73,0.51,0.07,1.0,0.67,0.7,0.43,0.94,0.6
go.csv,1.0,0.2,0.4,0.47,0.28,0.65,0.52,0.37,0.75,0.2,0.02,1.0,0.75,0.68,0.41,0.91,0.44
gstreamer.csv,0.75,0.17,0.47,0.54,0.18,0.65,0.55,0.35,0.76,0.26,0.02,1.0,0.75,0.97,0.38,0.97,0.53
metacosm.csv,0.58,0.21,0.68,0.49,0.28,0.58,0.81,0.31,0.69,0.66,0.16,0.96,0.64,0.62,0.28,0.75,1.0
pcsx2.csv,0.71,0.22,0.45,0.65,0.27,0.69,0.48,0.32,0.99,0.26,0.0,1.0,0.77,0.67,0.44,0.95,0.56
pgui.csv,0.85,0.25,0.64,0.5,0.53,0.69,0.8,1.0,0.8,0.22,0.0,1.0,0.55,0.65,0.38,0.77,0.59
qse.csv,0.86,0.24,0.42,0.43,0.44,0.7,1.0,0.51,0.82,0.34,0.04,1.0,0.77,0.8,0.31,0.97,0.59
rebecca-aiml.csv,0.55,0.22,0.68,0.49,0.5,0.73,0.45,0.23,0.64,1.0,0.16,1.0,0.58,0.52,0.21,0.76,0.59
skia.csv,0.85,0.18,0.33,0.31,0.07,0.71,0.6,0.38,0.74,0.47,0.12,1.0,0.89,0.58,1.0,0.54,0.43
vars-redux.csv,0.82,0.28,0.5,1.0,0.22,0.7,0.5,0.36,0.82,0.1,0.0,1.0,0.57,0.72,0.47,1.0,0.68
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yale.csv,0.54,1.0,0.58,0.33,0.21,0.61,0.29,0.25,0.53,0.68,0.12,0.99,0.56,0.51,0.3,0.64,0.47
