,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.56,0.66,0.82,0.53,0.67,0.05,0.64,0.55,0.5,0.77,1.03,0.9,0.63,0.55,0.55,0.66,0.69
biopax.csv,0.69,0.77,0.87,0.82,0.58,0.62,0.66,0.77,0.66,0.99,0.88,0.44,0.52,0.57,0.57,0.05,0.87
ffigo.csv,0.66,0.67,0.72,0.61,0.84,0.68,0.6,0.62,0.63,0.7,0.64,0.83,0.05,0.49,0.78,0.6,0.4
freebios.csv,0.69,0.71,0.05,0.57,0.99,0.75,0.65,0.6,0.63,0.41,0.56,0.73,0.72,0.68,0.71,0.83,0.6
glelite.csv,1.0,1.0,1.0,0.96,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.0,0.95,0.99,1.0,1.0,1.0
gnupdate.csv,0.74,0.76,0.6,0.68,0.05,0.67,0.43,0.58,0.58,0.57,0.78,0.67,0.67,0.62,0.59,0.6,0.5
go.csv,0.01,0.58,0.85,0.66,0.52,0.68,0.58,0.56,0.55,0.98,1.01,0.46,0.52,0.54,0.59,0.48,0.81
gstreamer.csv,0.5,0.67,0.74,0.54,0.76,0.68,0.53,0.59,0.52,0.76,1.02,0.55,0.52,0.05,0.63,0.54,0.64
metacosm.csv,0.79,0.8,0.53,0.67,0.68,0.79,0.63,0.65,0.66,0.48,0.48,0.94,0.71,0.64,0.83,0.77,0.07
pcsx2.csv,0.58,0.55,0.76,0.48,0.62,0.6,0.77,0.74,0.01,0.77,1.0,0.71,0.67,0.57,0.72,0.73,0.56
pgui.csv,0.73,0.78,0.86,0.69,0.51,0.81,0.55,0.04,0.64,0.84,1.01,0.85,0.87,0.82,0.77,0.8,0.59
qse.csv,0.55,0.56,0.83,0.7,0.3,0.63,0.03,0.52,0.45,0.64,0.92,0.65,0.7,0.57,0.75,0.48,0.51
rebecca-aiml.csv,0.85,0.87,0.45,0.61,0.8,0.89,0.7,0.8,0.73,0.02,0.47,0.69,0.77,0.79,0.89,0.75,0.59
skia.csv,0.86,0.76,0.95,0.91,0.95,0.74,0.75,0.65,0.75,0.84,0.59,0.81,0.9,0.83,0.09,0.95,0.9
vars-redux.csv,0.66,0.72,0.8,0.02,0.69,0.69,0.69,0.63,0.62,0.98,1.0,0.89,0.91,0.67,0.68,0.77,0.5
wxjs.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
yale.csv,0.89,0.12,0.58,0.83,0.72,0.82,0.89,0.76,0.89,0.23,0.64,0.59,0.87,0.8,0.78,1.03,0.74
