,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.59,0.09,0.1,0.0,0.05,0.08,0.53,0.13,0.73,0.69,0.36,0.72,0.46,0.68,0.09,0.6,0.8,0.81,0.19,0.51
alpine.csv,0.22,0.05,0.0,0.07,0.05,0.01,0.06,0.03,0.09,0.02,0.0,0.0,0.0,0.0,0.06,0.11,0.0,0.21,0.12,0.03
enzo.csv,0.8,0.84,0.82,0.65,0.99,0.78,0.95,0.75,0.84,0.71,0.5,0.74,0.8,0.66,0.31,0.75,0.12,0.96,0.72,0.59
flylinkdc.csv,0.24,0.03,0.38,0.26,0.32,0.28,0.19,0.3,0.17,0.14,0.0,0.26,0.15,0.18,0.02,0.31,0.04,0.33,0.22,0.24
fw4spl.csv,0.33,0.51,0.38,0.47,0.0,0.38,0.14,0.01,0.37,0.29,0.93,0.45,0.73,0.66,0.84,0.49,0.72,0.17,0.53,0.79
grisbi.csv,0.76,0.7,0.82,0.59,1.0,0.76,0.96,0.82,0.84,0.9,0.0,0.73,0.77,0.63,0.33,0.79,0.6,1.0,0.69,0.49
jcae.csv,0.0,0.03,0.08,0.04,0.02,0.03,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.03,0.03,0.01,0.0,0.15,0.0,0.0
jcl.csv,0.0,0.06,0.0,0.17,0.03,0.09,0.0,0.21,0.02,0.0,0.0,0.3,0.0,0.03,0.03,0.01,0.0,0.0,0.06,0.19
libarchive.csv,0.51,0.48,0.55,0.39,0.27,0.65,0.72,0.41,0.58,0.43,0.21,0.52,0.36,0.5,0.16,0.51,0.08,0.92,0.59,0.0
mimosa.csv,0.18,0.29,0.68,0.45,0.78,0.34,0.25,0.44,0.18,0.02,0.0,0.33,0.19,0.18,0.06,0.24,0.2,0.18,0.38,0.34
n2cms.csv,0.2,0.34,0.38,0.4,0.58,0.01,0.28,0.08,0.57,0.36,0.0,0.21,0.09,0.42,0.1,0.22,0.28,0.68,0.03,0.6
nabu-library.csv,0.73,0.8,0.8,0.58,0.86,0.7,0.8,0.78,0.49,0.88,0.57,0.61,0.73,0.68,0.01,0.54,0.24,0.48,0.75,0.68
net-snmp.csv,0.0,0.16,0.15,0.08,0.78,0.27,0.2,0.16,0.27,0.19,0.14,0.21,0.2,0.11,0.09,0.26,0.08,0.15,0.22,0.07
ossbuild.csv,0.33,0.2,0.28,0.42,0.13,0.35,0.04,0.17,0.02,0.07,0.21,0.3,0.53,0.29,0.69,0.06,0.2,0.22,0.12,0.37
quickfast.csv,0.9,0.44,0.6,0.64,0.86,0.55,0.72,0.49,0.92,0.5,0.0,0.61,0.14,0.39,0.24,0.69,0.76,0.9,0.03,0.63
tcvp.csv,0.06,0.04,0.02,0.11,0.05,0.08,0.09,0.07,0.15,0.0,0.14,0.25,0.0,0.03,0.04,0.09,0.0,0.27,0.0,0.03
vdsf.csv,0.98,0.87,0.92,0.87,0.03,0.86,0.78,0.39,0.86,0.81,1.0,0.92,0.86,0.89,0.92,0.81,0.96,0.83,0.94,0.94
virtuoso.csv,1.0,0.88,0.82,0.96,0.98,0.85,0.94,0.77,0.57,0.98,1.0,1.0,1.0,0.13,0.95,0.01,1.0,0.94,0.09,0.19
xbrlapi.csv,0.45,0.17,0.02,0.19,0.73,0.41,0.27,0.35,0.54,0.38,0.0,0.18,0.19,0.32,0.25,0.33,0.84,0.14,0.69,0.76
yarp.csv,0.27,0.2,0.2,0.35,0.14,0.11,0.05,0.15,0.0,0.07,0.29,0.26,0.57,0.05,0.67,0.13,0.44,0.26,0.31,0.0
