,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.57,0.74,0.1,0.69,0.43,0.85,0.71,0.68,0.56,0.6,0.55
azureus.csv,0.93,0.66,0.79,0.63,0.55,0.75,0.05,0.6,0.66,0.58,0.93
forester-atv.csv,1.11,0.05,0.93,0.87,1.01,1.0,0.94,0.92,0.88,0.86,0.78
gabel.csv,0.99,1.0,1.0,1.0,0.0,1.0,1.0,0.98,0.94,1.0,1.0
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javaprofiler.csv,0.72,0.7,0.57,0.75,0.67,0.77,0.73,0.66,0.57,0.59,0.01
mycila.csv,0.84,0.94,0.9,0.89,0.92,0.0,0.95,0.78,0.96,0.8,0.95
neodatis-odb.csv,1.24,0.71,0.71,0.05,0.74,0.84,0.75,0.82,0.61,0.96,0.57
pokenetonline.csv,0.6,0.65,0.69,0.84,0.46,0.54,0.92,0.0,0.44,0.62,0.66
rcp-company-uibindings.csv,0.51,0.98,0.82,0.88,0.72,0.91,0.56,0.96,0.76,0.0,0.63
servicestack.csv,1.19,0.63,0.46,0.85,0.39,0.93,0.81,0.64,0.0,0.64,0.73
