,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.77,1.04,0.75,0.78,0.81,0.8,0.38,0.91,0.5,0.67,0.87,0.51,0.75
gamestone.csv,0.87,0.2,0.9,0.71,0.72,1.0,0.87,0.87,0.95,0.94,0.74,0.92,0.74
gbif-providertoolkit.csv,0.93,1.05,0.78,0.69,0.4,1.0,0.71,0.76,0.68,0.96,1.03,0.52,0.69
growl-for-windows.csv,0.59,0.88,1.0,1.0,0.51,0.86,0.8,1.0,1.0,1.0,0.82,0.3,1.0
gss.csv,0.4,0.28,0.58,0.74,0.83,0.52,1.0,0.76,1.0,0.39,0.28,0.82,0.84
heekscad.csv,0.35,0.47,0.47,0.56,0.59,0.63,0.85,0.67,0.65,0.72,0.57,0.81,0.72
igarden.csv,0.51,0.67,0.81,0.46,0.74,0.54,0.69,0.75,0.48,0.69,0.72,0.89,0.82
levent.csv,0.54,0.89,0.84,0.9,0.72,0.5,0.97,0.98,1.0,0.81,0.63,0.43,1.0
openmsx.csv,1.0,0.86,0.86,0.87,0.58,0.84,0.9,0.57,0.85,0.97,1.0,0.79,0.98
pnotepad.csv,0.42,0.53,0.73,0.96,0.92,0.63,0.95,0.9,1.0,0.1,0.52,0.86,0.84
quark.csv,0.6,0.75,0.63,0.84,0.73,0.96,0.68,0.88,0.3,0.73,0.83,0.94,0.79
tango-cs.csv,0.79,0.46,0.66,0.75,0.85,0.63,0.66,0.77,1.0,0.59,0.83,0.69,0.56
xcsoar.csv,0.4,0.76,0.4,0.59,0.54,0.7,0.79,0.74,1.0,0.75,0.67,0.7,0.74
