,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.52,0.69,0.0,0.72,0.54,0.0,1.0,0.0,0.5,0.33,0.0,0.12
fontforge.csv,0.43,0.31,0.42,0.34,0.7,0.44,0.02,0.65,0.12,0.49,0.13,0.35,0.45
gmerlin.csv,1.0,0.31,0.5,0.36,0.0,0.43,0.02,0.0,0.16,0.0,0.0,0.49,0.52
hatari.csv,0.48,0.46,0.64,0.33,0.71,0.53,0.02,0.43,0.15,0.51,0.13,0.45,0.46
jcl.csv,0.51,0.4,0.49,0.42,0.79,0.49,0.03,0.48,0.12,0.45,0.24,0.31,0.56
ltp.csv,0.41,0.31,0.45,0.44,0.8,0.42,0.0,0.42,0.13,0.54,0.13,0.35,0.34
net-snmp.csv,0.61,0.39,0.62,0.38,0.64,0.42,0.04,0.44,0.15,0.48,0.15,0.41,0.49
opde.csv,0.45,0.3,0.45,0.52,0.69,0.44,0.1,0.45,0.16,0.0,0.1,0.36,0.42
powerfolder-.csv,0.47,0.55,0.71,0.33,0.49,0.41,0.06,0.5,0.22,0.52,0.12,0.38,0.6
qlc.csv,0.0,0.34,0.0,0.38,0.6,0.52,0.05,0.0,0.29,0.73,0.24,0.0,0.31
tcl.csv,0.4,0.27,0.4,0.33,0.73,0.38,0.0,0.0,0.15,0.67,0.0,0.24,0.47
wxstudio.csv,0.51,0.38,0.44,0.32,0.7,0.51,0.03,0.41,0.05,0.44,0.22,0.37,0.66
