,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.77,0.27,0.99,0.48,0.44,0.28,0.24,0.17,0.35,0.6,0.38,0.93
dsworkbench.csv,0.9,0.44,1.0,0.62,0.62,0.25,0.5,0.0,0.44,0.8,0.0,1.0
gogoego.csv,0.82,0.32,0.91,0.41,0.55,0.38,0.22,0.16,0.3,0.66,0.56,0.97
jpaul.csv,0.8,0.34,0.0,0.48,0.5,0.0,0.67,0.0,0.45,0.0,0.0,0.0
loki-lib.csv,0.78,0.26,0.94,0.37,0.39,0.33,0.29,0.2,0.43,0.5,0.66,0.97
motu.csv,0.92,0.25,0.88,0.31,0.35,0.33,0.38,0.11,0.32,0.67,0.45,0.98
mp-rechnungs-und-kundenverwaltung.csv,1.0,0.32,0.83,0.31,1.0,0.67,0.67,0.18,0.45,0.78,0.73,1.0
rtrt-on-gpu.csv,0.82,0.21,0.87,0.25,0.47,0.33,0.26,0.54,0.34,0.45,0.39,0.97
scenemonitor.csv,0.84,0.27,1.0,0.54,0.64,0.32,0.24,0.18,0.38,0.57,0.38,0.98
xstore.csv,0.78,0.26,0.92,0.41,0.62,0.23,0.24,0.06,0.34,0.67,0.5,0.95
yarp0.csv,0.74,0.35,0.87,0.14,0.3,0.55,0.14,0.19,0.35,0.63,0.37,0.98
zemljanka.csv,0.76,0.24,0.88,0.29,0.38,0.34,0.24,0.2,0.31,0.52,0.4,1.0
