,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.32,0.5,0.31,0.14,0.45,1.0,0.88,0.79,0.62,0.79,0.4,0.41,0.84,1.0,0.49,0.58,0.8
checker-framework.csv,0.95,0.64,1.0,1.0,1.0,0.54,0.81,0.88,0.85,0.33,0.91,0.27,0.91,0.62,0.84,0.92,0.8
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.04,0.0,0.0,0.0,1.0
ctrlr.csv,0.11,0.21,0.0,0.71,0.27,0.08,0.19,0.0,0.15,0.12,0.43,0.18,0.02,0.71,0.07,0.17,0.0
fontforge.csv,0.52,0.86,1.0,1.0,0.91,1.0,0.62,0.88,0.92,0.79,0.75,0.86,0.76,0.71,0.99,0.81,1.0
gusanos.csv,0.43,0.64,0.88,0.29,0.64,0.92,0.25,0.67,0.62,0.08,0.52,0.68,0.29,0.81,0.82,0.69,1.0
jvcl.csv,0.45,0.36,0.56,0.29,0.27,0.54,0.06,0.75,0.31,0.12,0.3,0.05,0.16,0.0,0.22,0.42,0.0
kwave.csv,0.86,0.71,1.0,0.86,1.0,1.0,0.56,1.0,0.92,0.75,0.85,0.91,0.85,0.62,1.0,1.0,0.8
liferea.csv,0.32,0.57,0.0,0.0,0.18,0.69,0.25,0.21,0.46,0.25,0.17,0.45,0.38,0.29,0.1,0.36,0.0
lockss.csv,0.39,0.36,0.38,0.0,0.27,0.46,0.12,0.62,0.54,0.75,0.25,0.68,0.42,0.05,0.1,0.81,0.8
magicwars.csv,0.84,1.0,0.69,1.0,1.0,1.0,1.0,0.96,0.92,1.0,0.64,0.95,0.87,1.0,1.0,0.92,1.0
psrchive.csv,0.43,0.57,0.25,0.71,0.18,0.69,0.19,0.5,0.38,0.42,0.2,0.32,0.18,0.05,0.49,0.61,0.6
pydev.csv,0.52,0.36,0.5,0.43,0.27,0.31,0.31,0.79,0.54,0.38,0.34,0.41,0.65,0.1,0.22,0.69,0.8
sarasvati.csv,0.77,0.57,0.38,0.86,0.82,0.31,0.38,0.29,0.31,0.12,0.35,0.18,0.64,0.33,0.34,0.44,0.4
stuproa-cims.csv,0.41,0.0,1.0,0.14,0.18,0.0,0.62,0.54,0.62,1.0,0.33,0.41,0.58,0.0,0.72,0.56,0.6
thout.csv,0.59,0.79,0.5,0.71,1.0,1.0,0.94,0.79,0.69,1.0,0.5,0.91,0.89,1.0,0.75,0.39,0.6
zact.csv,0.05,0.21,0.06,0.71,1.0,0.08,0.44,0.12,0.23,0.12,0.4,0.23,0.22,0.71,0.37,0.11,0.0
