,precision
exist.csv,0.88
proftp.csv,0.72
rtrt-on-gpu.csv,0.5
matrex.csv,0.64
amateur-scrolls.csv,0.33
ossbuild.csv,0.08
st-filteredstatistics.csv,1.0
pokenetonline.csv,0.9
java-gnome.csv,0.8
unflobtactical.csv,0.83
archive-crawler.csv,0.31
freedom-erp.csv,0.55
miranda-icq.csv,0.36
silvertree.csv,0.67
projectfactory.csv,0.55
autat.csv,0.55
quarkplusplus.csv,0.64
stemkit.csv,0.0
foursquared.csv,0.59
jasperreports.csv,0.25
m-a-d-n-e-s-s.csv,0.58
roolo.csv,0.33
frogatto.csv,1.0
mimosa.csv,0.69
amygdala.csv,0.57
irrlicht.csv,0.84
lcfizvtop.csv,0.25
grisbi.csv,1.0
elynx.csv,0.0
alpine.csv,0.21
mumble.csv,0.65
t-2.csv,0.09
jaolt.csv,0.83
libmesh.csv,0.5
all-plasm.csv,0.57
acdk.csv,0.68
bwapi.csv,0.88
modellus.csv,0.82
micomt.csv,0.6
mp-rechnungs-und-kundenverwaltung.csv,0.5
tcvp.csv,0.0
xstore.csv,0.83
bdbbasic.csv,0.56
tart.csv,0.08
echongl.csv,0.89
snakeyaml.csv,0.42
wheat.csv,0.0
dspace-gsoc.csv,0.33
yarp.csv,0.67
boost.csv,0.59
qse.csv,1.0
quarkplayer.csv,0.04
open-data-kit.csv,0.88
yafdotnet.csv,0.71
impala.csv,0.09
avisynth2.csv,0.09
xreal.csv,0.07
tycho.csv,1.0
nabu-library.csv,0.8
freewrl.csv,0.56
roller.csv,0.74
zabbix.csv,0.86
turbotrader-bos.csv,0.63
xpontus.csv,0.03
cascading.csv,0.95
omseek.csv,0.39
kindb.csv,1.0
panda3d.csv,0.31
gusanos.csv,0.75
truevision.csv,0.82
