,g-score
exist.csv,0.23
proftp.csv,0.48
rtrt-on-gpu.csv,0.12
matrex.csv,0.71
amateur-scrolls.csv,0.06
ossbuild.csv,0.11
st-filteredstatistics.csv,0.27
pokenetonline.csv,0.37
java-gnome.csv,0.09
unflobtactical.csv,0.34
archive-crawler.csv,0.39
freedom-erp.csv,0.27
miranda-icq.csv,0.35
silvertree.csv,0.28
projectfactory.csv,0.18
autat.csv,0.43
quarkplusplus.csv,0.33
stemkit.csv,0.0
foursquared.csv,0.47
jasperreports.csv,0.82
m-a-d-n-e-s-s.csv,0.63
roolo.csv,0.06
frogatto.csv,0.26
mimosa.csv,0.65
amygdala.csv,0.13
irrlicht.csv,0.29
lcfizvtop.csv,0.11
grisbi.csv,0.17
elynx.csv,0.0
alpine.csv,0.47
mumble.csv,0.57
t-2.csv,0.07
jaolt.csv,0.17
libmesh.csv,0.05
all-plasm.csv,0.63
acdk.csv,0.65
bwapi.csv,0.07
modellus.csv,0.38
micomt.csv,0.27
mp-rechnungs-und-kundenverwaltung.csv,0.41
tcvp.csv,0.0
xstore.csv,0.26
bdbbasic.csv,0.57
tart.csv,0.44
echongl.csv,0.52
snakeyaml.csv,0.35
wheat.csv,0.0
dspace-gsoc.csv,0.04
yarp.csv,0.1
boost.csv,0.18
qse.csv,0.36
quarkplayer.csv,0.11
open-data-kit.csv,0.33
yafdotnet.csv,0.27
impala.csv,0.19
avisynth2.csv,0.67
xreal.csv,0.63
tycho.csv,0.07
nabu-library.csv,0.05
freewrl.csv,0.37
roller.csv,0.43
zabbix.csv,0.33
turbotrader-bos.csv,0.4
xpontus.csv,0.94
cascading.csv,0.2
omseek.csv,0.44
kindb.csv,0.37
panda3d.csv,0.2
gusanos.csv,0.16
truevision.csv,0.28
