,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.71,0.73,0.0,0.64,1.0,0.72,0.79,0.7,0.88,0.77,0.89,0.63
dsworkbench.csv,0.02,0.7,0.96,0.67,0.85,0.89,0.71,1.05,0.76,0.84,0.8,0.93
gogoego.csv,0.74,0.07,0.93,0.88,0.76,0.96,0.62,0.91,0.63,0.77,0.77,1.0
jpaul.csv,0.63,0.66,0.84,0.0,0.79,0.79,0.52,1.01,0.58,0.78,0.97,1.0
loki-lib.csv,0.69,0.66,0.68,0.52,0.7,0.68,0.76,0.79,0.76,0.71,0.07,0.89
motu.csv,0.66,0.85,0.98,0.65,1.0,1.01,0.08,0.9,0.62,0.74,0.83,0.87
mp-rechnungs-und-kundenverwaltung.csv,0.66,0.79,0.84,0.85,0.95,0.61,0.88,0.64,0.02,0.71,0.75,0.76
rtrt-on-gpu.csv,0.94,0.88,0.89,1.04,0.84,0.95,0.99,0.0,0.82,0.72,0.87,1.0
scenemonitor.csv,0.59,0.59,0.75,0.73,0.0,0.63,0.74,0.72,0.69,0.61,0.69,0.77
xstore.csv,0.75,0.61,0.69,0.4,0.57,0.61,0.53,0.71,0.71,0.04,0.69,0.6
yarp0.csv,0.62,0.79,0.86,0.73,0.56,0.06,0.94,1.0,0.64,0.68,0.74,0.88
zemljanka.csv,0.88,0.94,1.0,1.0,0.97,0.72,0.94,1.0,0.96,0.98,0.6,0.0
