,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.85,1.0,0.81,0.6,0.74,0.73,0.8,0.72,0.68,1.01,0.67,0.27
gwanted.csv,0.54,0.64,0.57,0.8,0.92,0.83,0.81,0.43,0.93,1.0,0.58,0.98
ivatamasks.csv,0.93,0.43,0.83,0.39,0.98,0.83,0.91,0.56,0.92,0.69,0.89,0.6
java-gnome.csv,0.29,0.84,0.88,0.85,0.74,0.86,0.85,0.8,0.26,0.74,0.75,0.8
orc.csv,0.95,0.62,0.33,0.68,0.91,0.86,0.84,0.74,0.91,1.0,0.85,0.87
plato.csv,0.96,1.0,0.99,0.78,0.96,0.29,0.94,0.69,0.85,1.0,0.98,0.88
rodin-b-sharp.csv,0.47,0.8,0.57,0.82,0.88,0.78,0.23,0.79,0.46,1.0,0.64,0.92
tycho.csv,1.0,0.69,0.66,0.67,0.72,0.68,0.9,0.63,0.65,0.33,0.89,0.78
umber.csv,0.22,1.03,0.91,0.74,0.81,1.0,0.87,0.86,0.88,0.84,0.53,0.91
unicase.csv,0.28,0.09,0.88,0.92,0.74,0.75,0.75,0.58,0.88,0.8,0.47,0.75
vienna-add-in.csv,0.69,1.09,0.94,0.79,0.45,0.69,0.77,0.73,0.88,0.65,0.89,0.86
wpdev.csv,1.0,0.0,0.99,1.0,0.98,1.0,1.0,0.96,1.0,0.96,0.99,0.9
