,f1,g,recall,precision,pf,wins
codesmith.csv,0.48,0.455,0.6299999999999999,0.775,0.425,10
gwanted.csv,0.30500000000000005,0.33999999999999997,0.295,0.7,0.20500000000000002,1
ivatamasks.csv,0.605,0.46499999999999997,0.705,0.62,0.63,8
java-gnome.csv,0.405,0.335,0.305,0.715,0.21000000000000002,4
orc.csv,0.255,0.245,0.21500000000000002,0.51,0.21,0
plato.csv,0.735,0.195,0.905,0.665,0.945,5
rodin-b-sharp.csv,0.49,0.415,0.39,0.735,0.31,7
tycho.csv,0.49,0.42,0.39,0.7,0.31,6
umber.csv,0.74,0.41000000000000003,0.915,0.7,0.86,9
unicase.csv,0.69,0.59,0.885,0.66,0.6599999999999999,11
vienna-add-in.csv,0.42,0.47,0.565,0.6,0.58,3
wpdev.csv,0.75,0.05,1.0,0.645,0.99,2
