,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.91,0.41,0.36,0.59,0.97,0.77,0.41,0.59,0.5,0.38,0.7,0.5
gwanted.csv,0.58,0.43,0.64,0.96,0.88,0.39,0.71,0.71,0.9,0.0,0.48,0.0
ivatamasks.csv,0.34,0.38,0.32,0.36,0.37,0.33,0.38,0.4,0.62,0.36,0.4,0.4
java-gnome.csv,0.54,0.82,0.86,0.94,0.82,0.83,0.75,0.58,0.42,0.9,0.59,0.5
orc.csv,0.86,0.45,0.67,0.65,0.95,0.45,0.63,0.75,0.89,0.0,0.99,0.76
plato.csv,0.33,0.4,0.31,0.47,0.44,0.5,0.41,0.58,0.91,0.4,0.4,0.38
rodin-b-sharp.csv,0.82,0.79,0.94,0.92,0.93,0.57,0.67,0.62,0.38,0.0,0.67,0.63
tycho.csv,0.81,0.47,0.92,0.62,0.6,0.87,0.62,0.78,0.78,0.5,0.48,0.85
umber.csv,0.56,0.38,0.29,0.4,0.48,0.41,0.39,0.42,0.37,0.8,0.39,0.35
unicase.csv,0.52,0.39,0.3,0.42,0.6,0.43,0.43,0.55,0.38,0.53,0.42,0.43
vienna-add-in.csv,0.49,0.64,0.35,0.57,0.61,0.65,0.7,0.5,0.93,0.55,0.72,0.69
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.38,0.42,0.38,0.4,0.39,0.39
