,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
48,2,1,1,1,2,2,2,1,mclient-mume.csv
44,3,2,3,6,3,6,6,9,chrysalis.csv
43,4,4,3,10,2,2,7,12,uface.csv
50,5,1,2,3,5,9,12,13,jmoney.csv
19,6,4,4,9,5,3,18,19,cuberok.csv
15,7,3,3,6,4,6,11,11,e-bio-flow.csv
24,8,0,0,1,3,4,7,7,projectfactory.csv
22,10,0,1,1,0,1,1,0,atunes.csv
14,11,2,4,5,2,2,4,5,gpsmid.csv
49,13,3,2,7,2,0,6,9,ngl.csv
51,14,1,2,1,2,5,5,4,yafdotnet.csv
17,16,7,7,9,9,9,9,17,xcsoar.csv
21,17,1,3,2,2,2,2,2,mob-sen-plat.csv
12,18,0,4,6,1,5,4,11,lphant.csv
52,22,2,2,2,2,1,0,1,jajuk.csv
42,23,2,5,12,2,1,13,12,jaxen.csv
41,24,2,3,6,2,3,7,8,elateportal.csv
53,25,1,3,3,2,4,10,9,sabbu.csv
23,26,1,5,7,5,7,4,19,owlib.csv
13,27,3,7,6,6,9,9,14,openmeetings.csv
20,28,4,2,2,6,11,15,15,img-browse-sort.csv
16,29,9,11,17,8,5,2,16,google-caja.csv
33,30,5,6,7,5,10,15,17,qtractor.csv
29,31,3,3,3,3,4,3,5,selenium.csv
4,32,0,1,1,0,2,2,1,raygina.csv
11,33,10,9,15,7,1,7,14,psycle.csv
10,34,6,10,10,9,12,15,15,phonon-vlc-mplayer.csv
5,35,3,9,11,5,11,12,19,riff-evolve.csv
28,36,2,3,6,3,3,7,11,jaolt.csv
34,37,0,1,3,2,3,7,6,httpcontentparser.csv
27,38,7,10,14,6,4,14,17,nativeclient.csv
35,39,3,3,2,7,14,17,19,ktc.csv
46,40,2,1,2,2,0,1,2,xinity.csv
39,41,3,4,4,3,4,5,5,xtreemfs.csv
26,43,1,1,3,5,10,16,13,openwbem.csv
25,44,3,4,7,3,2,5,8,glas.csv
18,45,1,3,3,2,4,5,6,loki-lib.csv
38,46,5,1,5,4,1,4,5,rectracker.csv
47,47,6,11,13,7,11,12,19,galaxium.csv
40,48,1,2,2,2,9,12,12,snakeyaml.csv
45,49,1,1,2,1,1,2,1,ambulant.csv
2,50,3,3,6,4,5,8,10,xcf.csv
7,51,2,3,6,2,4,4,8,carabiner.csv
36,52,1,2,5,2,7,9,9,adobe-source.csv
32,53,6,0,7,6,2,14,14,hydrate.csv
31,54,6,4,9,4,5,9,13,rebecca-aiml.csv
37,55,1,1,2,1,0,2,1,alleg.csv
6,56,0,1,1,3,13,14,14,theresa.csv
3,57,8,5,14,6,1,14,14,unicase.csv
8,58,2,1,2,4,7,8,11,ipfire-wall.csv
1,59,5,4,5,7,6,12,16,opengs.csv
9,60,4,4,5,7,10,15,18,maidsafe-dht.csv
0,61,2,3,3,3,3,4,7,anaxagora.csv
30,62,3,7,16,4,1,4,19,kaffeine.csv
