,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.42,0.48,0.73,0.48,0.99,0.31,0.33,0.51,0.47,0.24,0.29,0.31,0.61,0.05,0.11,0.47,0.36,0.48,0.58,0.59
autofac.csv,0.63,0.61,0.67,1.0,0.42,0.46,0.57,0.4,0.47,0.29,0.21,0.5,0.66,0.13,0.23,0.68,0.46,0.42,0.53,0.62
avisynth2.csv,0.05,0.07,0.04,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0
azureus.csv,0.2,0.46,0.39,0.32,0.06,0.24,0.41,0.3,0.32,0.27,0.0,0.98,0.41,0.0,0.29,0.55,0.39,0.2,0.13,0.09
coot.csv,0.55,0.28,0.46,0.37,0.34,0.68,0.41,0.23,0.25,0.2,0.29,0.35,0.38,0.06,0.2,0.38,0.26,0.0,0.24,0.98
dsworkbench.csv,0.76,0.45,0.97,0.33,0.5,0.52,0.21,0.39,0.35,0.19,0.23,0.46,0.65,0.1,0.2,0.56,0.42,0.35,0.54,0.25
forester-atv.csv,0.0,1.0,0.24,0.07,0.06,0.18,0.11,0.34,0.0,0.18,0.0,0.24,0.09,0.0,0.25,0.21,0.19,0.11,0.08,0.14
freelords.csv,0.83,0.52,0.68,0.49,0.54,0.98,0.48,0.5,0.48,0.16,0.34,0.38,0.82,0.12,0.19,0.51,0.42,0.4,0.65,0.59
gabel.csv,0.18,0.07,0.11,0.0,0.09,0.02,0.21,0.05,0.1,1.0,0.0,0.23,0.12,0.0,0.25,0.14,0.11,0.0,0.0,0.05
geotools.csv,0.51,0.26,0.46,0.37,0.28,0.43,0.15,0.39,0.0,0.22,0.0,0.3,0.31,0.0,0.15,0.26,0.99,0.12,0.32,0.33
gephex.csv,0.38,0.31,0.64,0.44,0.67,0.52,0.39,0.34,0.09,0.23,0.1,0.37,0.67,0.06,0.19,0.55,0.45,0.42,0.98,0.25
google-collections.csv,1.0,0.57,0.86,0.64,0.71,0.85,0.45,0.51,0.56,0.15,0.3,0.41,0.83,0.09,0.22,0.54,0.44,0.42,0.78,0.68
jpaul.csv,0.66,0.61,0.67,0.46,0.38,0.29,1.0,0.42,0.3,0.25,0.0,0.48,0.59,0.31,0.22,0.51,0.34,0.17,0.22,0.25
mycila.csv,0.02,0.26,0.21,0.38,0.42,0.21,0.0,0.23,0.08,0.09,1.0,0.0,0.17,0.0,0.0,0.19,0.11,0.11,0.28,0.09
neodatis-odb.csv,0.61,0.49,0.46,0.44,0.43,0.34,0.14,0.99,0.0,0.06,0.0,0.16,0.47,0.0,0.15,0.2,0.25,0.4,0.43,0.59
octet.csv,0.38,0.63,0.47,0.39,0.18,0.25,0.43,0.36,0.4,0.13,0.27,0.49,0.35,0.0,1.0,0.43,0.2,0.22,0.33,0.05
pokenetonline.csv,0.85,0.57,0.78,0.63,0.44,0.68,0.51,0.38,0.57,0.2,0.35,0.39,1.0,0.12,0.21,0.61,0.52,0.44,0.6,0.67
scenemonitor.csv,0.78,0.58,0.71,0.63,0.44,0.64,0.5,0.41,0.98,0.2,0.22,0.47,0.72,0.09,0.26,0.59,0.41,0.51,0.63,0.61
servicestack.csv,0.29,0.53,0.7,0.59,0.09,0.21,0.57,0.41,0.32,0.21,0.07,0.46,0.52,0.13,0.32,0.59,0.31,0.97,0.08,0.65
twostep.csv,0.6,0.58,0.74,0.65,0.53,0.59,0.44,0.46,0.37,0.17,0.26,0.45,0.58,0.03,0.32,0.96,0.41,0.37,0.49,0.67
