,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.07,0.47,0.58,0.64,0.64,0.51,0.68,0.55,0.3,0.51,0.46,0.58,0.75
bscwweasel.csv,0.02,0.0,0.49,0.68,0.56,0.46,0.28,0.51,0.34,0.43,0.3,0.43,0.58
capcode.csv,0.04,0.72,0.56,0.61,0.33,0.68,0.37,0.33,0.72,0.61,0.47,0.32,0.48
emite.csv,0.65,0.39,0.4,0.24,0.67,0.2,0.36,0.24,0.4,0.31,0.71,0.51,0.33
geogebra.csv,0.04,0.47,0.37,0.44,0.59,0.59,0.38,0.63,0.65,0.44,0.12,0.65,0.58
hibernate.csv,0.0,0.34,0.52,0.3,0.67,0.53,0.33,0.53,0.33,0.55,0.27,0.66,0.64
lamp.csv,0.27,0.66,0.41,0.58,0.09,0.52,0.2,0.55,0.6,0.58,0.3,0.53,0.57
nodal.csv,0.01,0.17,0.48,0.48,0.27,0.46,0.02,0.29,0.64,0.34,0.07,0.34,0.63
retromenu.csv,0.26,0.47,0.58,0.29,0.79,0.37,0.26,0.21,0.34,0.26,0.51,0.4,0.33
smbopensoft.csv,0.79,0.09,0.21,0.53,0.46,0.57,0.61,0.26,0.65,0.52,0.53,0.55,0.64
stuproa-cims.csv,0.0,0.17,0.44,0.4,0.63,0.0,0.02,0.62,0.44,0.25,0.36,0.52,0.72
thout.csv,0.62,0.09,0.62,0.29,0.55,0.38,0.46,0.42,0.3,0.51,0.36,0.38,0.6
uface.csv,0.0,0.0,0.24,0.75,0.67,0.66,0.0,0.58,0.55,0.65,0.61,0.63,0.94
