,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.63,0.78,0.61,0.62
jajuk.csv,0.79,0.74,0.63,0.67
vapor.csv,0.12,0.48,0.59,0.16
zorannt.csv,0.6,0.67,0.51,0.71
