,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.56,0.7,0.64,0.73,0.56,0.37,0.0,0.3,0.58,0.6,0.6,0.64,0.67,0.68,0.0,0.69,0.05,0.09,0.62,0.67
arcallians.csv,0.63,0.66,0.72,0.82,0.73,0.0,0.17,0.55,0.59,0.53,0.5,0.33,0.64,0.64,0.47,0.59,0.54,0.62,0.68,0.34
arianne.csv,0.71,0.3,0.0,0.42,0.0,0.72,0.2,0.0,0.61,0.24,0.0,0.0,0.13,0.24,0.05,0.61,0.09,0.55,0.5,0.62
aztec.csv,0.25,0.6,0.15,0.34,0.67,0.79,0.47,0.5,0.4,0.57,0.64,0.4,0.19,0.43,0.55,0.28,0.66,0.62,0.53,0.53
biopax.csv,0.38,0.57,0.0,0.44,0.65,0.5,0.0,0.0,0.0,0.65,0.24,0.57,0.0,0.17,0.0,0.83,0.0,0.0,0.4,0.64
bl-toolkit.csv,0.52,0.26,0.78,0.33,0.0,0.39,0.72,0.0,0.65,0.0,0.0,0.17,0.54,0.47,0.17,0.32,0.64,0.5,0.21,0.47
clamav.csv,0.48,0.58,0.3,0.51,0.56,0.42,0.66,0.68,0.52,0.72,0.53,0.63,0.46,0.57,0.59,0.27,0.78,0.62,0.39,0.63
crux-framework.csv,0.32,0.27,0.28,0.26,0.27,0.47,0.15,0.58,0.19,0.29,0.39,0.61,0.23,0.43,0.38,0.05,0.98,0.21,0.23,0.25
gnupdate.csv,0.55,0.53,0.24,0.72,0.63,0.27,0.4,0.24,0.67,0.51,0.81,0.52,0.62,0.48,0.2,0.53,0.64,0.5,0.66,0.0
jmule.csv,0.6,0.63,0.66,0.82,0.65,0.54,0.7,0.48,0.59,0.5,0.81,0.54,0.69,0.65,0.0,0.58,0.7,0.74,0.75,0.89
mbse.csv,0.46,0.54,0.21,0.23,0.55,0.32,0.57,0.62,0.61,0.57,0.5,0.66,0.65,0.54,0.49,0.21,0.65,0.62,0.51,0.27
mplayer-ce.csv,0.64,0.72,0.69,0.5,0.53,0.36,0.37,0.47,0.39,0.24,0.61,0.66,0.51,0.51,0.57,0.69,0.27,0.17,0.62,0.6
ng4j.csv,0.26,0.44,0.41,0.67,0.41,0.05,0.19,0.33,0.5,0.54,0.55,0.58,0.45,0.44,0.37,0.62,0.7,0.2,0.76,0.34
ns-3-dev-def-routing.csv,0.42,0.35,0.67,0.68,0.64,0.68,0.41,0.05,0.47,0.47,0.59,0.53,0.58,0.6,0.27,0.58,0.58,0.57,0.61,0.05
openxava.csv,0.45,0.52,0.17,0.07,0.11,0.39,0.68,0.56,0.35,0.75,0.33,0.55,0.51,0.37,0.36,0.13,0.64,0.29,0.47,0.57
phonon-vlc-mplayer.csv,0.41,0.61,0.71,0.79,0.55,0.2,0.57,0.41,0.65,0.52,0.8,0.53,0.68,0.65,0.58,0.46,0.84,0.55,0.66,0.25
qgis.csv,0.45,0.63,0.33,0.79,0.46,0.05,0.29,0.0,0.61,0.18,0.0,0.0,0.53,0.6,0.02,0.72,0.62,0.54,0.53,0.0
vars-redux.csv,0.61,0.59,0.61,0.49,0.57,0.36,0.37,0.35,0.69,0.69,0.48,0.59,0.51,0.56,0.55,0.42,0.52,0.57,0.61,0.65
xamj.csv,0.51,0.36,0.33,0.36,0.6,0.32,0.56,0.09,0.57,0.53,0.31,0.49,0.64,0.38,0.53,0.49,0.67,0.71,0.13,0.13
yafdotnet.csv,0.61,0.58,0.15,0.47,0.59,0.41,0.57,0.64,0.55,0.29,0.5,0.44,0.73,0.57,0.37,0.29,0.64,0.61,0.53,0.44
