,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.52,0.5,0.7,0.27,0.54,0.08,0.1,0.25,0.47,0.37,0.18,0.69,0.46,0.39,0.23,0.38,0.45,0.22,0.45
arcallians.csv,0.52,0.57,0.83,0.54,0.73,0.08,0.08,0.42,0.44,0.43,0.5,0.63,0.48,0.49,0.34,0.39,0.52,0.34,0.8
arianne.csv,0.75,0.51,0.67,0.29,0.51,0.07,0.09,0.25,0.47,0.35,0.2,0.63,0.43,0.41,0.42,0.41,0.46,0.29,0.5
aztec.csv,0.44,0.56,0.88,0.0,0.33,0.67,0.12,0.38,0.45,0.57,1.0,0.67,0.53,0.67,0.0,0.0,0.65,0.32,0.57
bl-toolkit.csv,0.53,0.44,0.89,0.22,0.52,0.08,0.12,0.25,0.45,0.36,0.19,0.63,0.43,0.37,0.22,0.37,0.45,0.25,0.47
clamav.csv,0.53,0.64,0.75,0.3,0.54,0.04,0.16,0.33,0.47,0.67,0.21,0.74,0.66,0.46,0.29,0.48,0.54,0.25,0.62
gnupdate.csv,0.59,0.43,0.8,0.71,0.47,0.06,0.0,0.67,0.46,0.27,0.69,0.72,0.43,0.38,0.11,0.33,0.5,0.26,0.78
jmule.csv,0.58,0.53,0.85,0.58,0.59,0.22,0.11,0.25,0.46,0.48,0.21,0.71,0.52,0.48,0.45,0.38,0.45,0.48,0.86
les-indemodables.csv,0.62,0.63,0.88,0.48,0.67,0.1,0.1,0.37,0.47,0.62,0.33,0.72,0.62,0.46,0.58,0.73,0.54,0.2,0.58
mbse.csv,0.51,0.42,0.67,0.1,0.48,0.06,0.29,0.62,0.44,0.35,0.46,0.7,0.53,0.4,0.27,0.25,0.52,0.23,0.45
mplayer-ce.csv,0.56,0.57,0.71,0.33,0.66,0.08,0.11,0.34,0.42,0.57,0.32,0.69,0.44,0.46,0.33,0.44,0.62,0.32,0.47
ng4j.csv,0.7,0.73,0.95,0.67,0.75,0.2,0.18,0.3,0.54,0.5,0.36,0.76,0.53,0.52,0.8,0.48,0.46,0.82,1.0
ns-3-dev-def-routing.csv,0.63,0.85,0.94,0.69,0.77,0.08,0.06,0.34,0.46,0.57,0.64,0.82,0.59,0.62,0.8,0.43,0.51,0.33,0.0
openxava.csv,0.5,0.39,0.6,0.02,0.6,0.05,0.4,0.27,0.3,0.43,0.0,0.57,0.5,0.41,0.25,0.6,0.69,0.2,0.53
phonon-vlc-mplayer.csv,0.67,0.6,0.85,0.65,0.67,0.07,0.07,0.41,0.45,0.56,0.55,0.69,0.49,0.48,0.65,0.38,0.52,0.3,0.6
qgis.csv,0.49,0.71,0.69,0.46,0.75,0.06,0.06,0.0,0.44,0.43,0.0,1.0,0.44,0.52,0.36,0.43,0.43,0.45,0.0
vars-redux.csv,0.63,0.9,0.76,0.53,0.71,0.0,0.07,0.19,0.62,0.39,0.0,0.75,0.38,0.54,0.18,0.45,0.49,0.31,0.5
xapian.csv,0.51,0.73,0.58,0.56,1.0,0.01,0.06,0.47,0.47,1.0,0.42,0.67,0.43,0.44,0.68,0.33,0.5,0.16,0.48
yafdotnet.csv,0.55,0.56,0.7,0.3,0.69,0.05,0.16,0.51,0.46,0.5,0.57,0.74,0.67,0.42,0.39,0.72,0.54,0.34,0.6
