,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,0.0,0.46,0.35,0.37,0.59,0.23,0.44
bwapi.csv,0.0,0.85,0.75,0.38,0.32,0.38,0.31
gisgraphy.csv,0.06,0.2,0.03,0.13,0.0,0.34,0.64
lite.csv,0.0,0.05,0.45,0.45,0.06,0.59,0.15
ontopia.csv,0.03,0.85,0.87,0.3,0.24,0.34,0.46
smartgwt.csv,0.08,0.57,0.71,0.58,0.27,0.4,0.46
