,brlcad.csv,jmri.csv,critterding.csv,popeye-chess.csv,alpine.csv,yarp.csv,nabu-library.csv,biodwh.csv
alpine.csv,0.8,0.94,0.88,0.58,0.0,0.92,0.9,0.78
biodwh.csv,0.81,0.8,0.82,0.72,0.79,0.92,0.7,0.0
brlcad.csv,0.25,0.78,0.83,0.73,0.72,0.78,0.9,0.78
critterding.csv,0.82,0.74,0.0,0.61,0.7,0.78,0.89,0.62
jmri.csv,0.71,0.04,0.96,0.82,0.84,0.64,0.35,0.52
nabu-library.csv,0.76,0.82,0.76,0.78,0.57,0.75,0.02,0.86
popeye-chess.csv,0.65,0.77,0.76,0.06,0.59,0.59,0.66,0.72
yarp.csv,0.87,0.71,0.73,0.79,0.79,0.04,1.16,0.77
