,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.21,0.2,0.38,0.15
jlinalg.csv,0.07,0.82,0.57,0.47
qmmp.csv,0.21,0.62,0.37,0.16
yale.csv,0.07,0.42,0.26,0.84
