,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.0,3.0,0.0,8.0,0.0,0.0,3.0,1.0,34.0,2.0,3.0,6.0,0.0,17.0,0.0
bl-toolkit.csv,2.0,0.0,0.0,3.0,0.0,0.0,14.0,7.0,5.0,9.0,3.0,0.0,1.0,61.0,6.0
bochs.csv,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,67.0,1.0,8.0,0.0,3.0,68.0,2.0
emeraldemu.csv,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,38.0,0.0,3.0,2.0,0.0,82.0,1.0
fbmanager.csv,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,25.0,0.0,3.0,0.0,1.0,41.0,5.0
modellus.csv,1.0,2.0,2.0,14.0,0.0,1.0,2.0,1.0,16.0,0.0,4.0,0.0,1.0,38.0,14.0
openmalaria.csv,3.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,8.0,1.0,0.0,6.0,3.0,27.0,1.0
pi-qmc.csv,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,19.0,1.0,3.0,3.0,1.0,30.0,0.0
plplot.csv,1.0,2.0,0.0,7.0,0.0,0.0,14.0,9.0,69.0,0.0,3.0,2.0,0.0,43.0,2.0
powerfolder.csv,64.0,268.0,171.0,2.0,0.0,0.0,100.0,107.0,0.0,77.0,0.0,171.0,0.0,0.0,77.0
psycle.csv,0.0,0.0,0.0,6.0,0.0,0.0,9.0,1.0,7.0,12.0,2.0,0.0,4.0,79.0,5.0
qgis.csv,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,49.0,5.0,2.0,2.0,1.0,41.0,1.0
sbml.csv,1.0,2.0,8.0,9.0,3.0,1.0,3.0,0.0,14.0,3.0,2.0,7.0,3.0,76.0,0.0
unimrcp.csv,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,125.0,3.0
wow-qrsk.csv,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,50.0,1.0
