,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.8,0.48,0.66,0.52,0.72,0.97,0.0,0.54,0.33,0.72,0.36,0.33,0.05,0.5,0.64,0.66,0.17
codepurge.csv,0.37,0.58,0.14,0.2,0.75,0.24,1.0,0.58,0.28,0.69,0.21,0.22,0.03,0.88,0.29,0.31,0.12
fontforge.csv,0.44,0.68,0.79,0.4,0.89,0.42,1.0,1.0,0.28,0.54,0.24,0.56,0.38,0.33,0.5,0.16,0.08
glas.csv,0.44,0.55,0.21,0.16,0.72,0.52,0.0,0.75,0.44,0.69,0.38,0.33,0.95,0.29,0.86,0.22,0.12
gmerlin.csv,0.15,0.39,0.1,0.2,0.13,0.2,0.0,0.67,0.33,0.59,0.21,0.39,0.19,0.08,0.93,0.91,0.04
hatari.csv,0.56,0.74,0.97,0.44,0.51,0.7,1.0,0.54,0.61,0.59,0.63,0.44,0.3,0.29,0.71,0.16,0.5
jcl.csv,0.0,0.06,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.04,0.79,0.0,0.0
ltp.csv,0.12,0.06,0.1,0.24,0.99,0.03,0.0,0.04,0.22,0.03,0.05,0.0,0.14,0.04,0.0,0.0,0.0
mia.csv,0.1,0.32,0.07,0.12,0.89,0.14,0.0,0.08,0.06,0.77,0.62,0.89,0.0,0.04,0.86,0.16,0.0
net-snmp.csv,1.0,0.55,0.38,0.44,0.56,0.47,1.0,0.21,0.33,0.62,0.54,0.22,0.27,0.5,0.57,0.25,0.38
opde.csv,0.76,0.45,0.55,0.92,0.7,0.33,0.0,0.33,0.5,0.72,0.64,0.17,0.19,0.29,1.0,0.53,0.17
oppna-program-hsatools.csv,0.88,0.84,0.86,1.0,0.98,0.79,1.0,0.92,0.94,0.82,1.0,0.94,0.7,0.71,0.71,0.88,0.96
powerfolder-.csv,0.12,0.94,0.0,0.0,0.48,0.26,0.0,0.25,0.0,0.38,0.34,0.06,0.0,0.0,0.57,0.09,0.04
qlc.csv,0.0,0.1,0.0,0.12,0.0,0.02,0.0,0.0,0.83,0.0,0.07,0.17,0.11,0.0,0.21,0.09,0.12
quantlib.csv,0.61,0.65,0.45,0.28,0.66,0.74,1.0,0.38,0.22,0.74,0.79,0.72,0.22,0.38,0.79,0.38,0.88
tcl.csv,0.22,0.23,0.1,0.32,0.12,0.14,0.0,0.21,0.39,0.97,0.19,0.28,0.16,0.12,0.21,0.28,0.17
