,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.76,0.64,0.77,0.63,0.76,1.0,0.48,0.69,0.43,0.81,0.77,0.02,0.58,0.68,0.74,0.49
arcallians.csv,0.73,0.79,0.69,0.54,0.02,0.65,0.9,0.64,0.56,0.91,0.77,0.77,0.63,0.89,0.87,0.89
arianne.csv,0.02,0.62,0.63,0.6,0.69,0.79,0.23,0.75,0.63,0.59,0.78,0.65,0.67,0.72,0.74,0.57
aztec.csv,0.81,0.93,0.98,0.96,0.76,0.08,0.94,1.0,0.72,0.6,1.0,1.0,0.72,0.88,0.93,0.87
bl-toolkit.csv,0.59,0.5,0.04,0.57,0.53,0.78,0.96,0.85,0.7,0.66,0.73,0.6,0.75,0.62,0.62,0.59
clamav.csv,0.76,0.57,0.85,0.7,0.93,0.65,0.85,0.77,0.83,0.0,0.81,0.72,0.75,0.58,0.68,0.59
gnupdate.csv,0.85,0.71,0.8,0.67,0.64,0.96,0.35,0.91,0.51,0.95,0.01,0.84,0.68,0.74,0.77,0.73
les-indemodables.csv,0.67,0.58,0.66,0.61,0.65,0.8,0.46,0.6,0.61,0.5,0.53,0.55,0.51,0.66,0.54,0.05
mbse.csv,0.87,0.63,0.83,0.93,0.85,0.85,0.52,0.09,0.69,0.77,0.77,0.7,0.72,0.75,0.75,0.79
ns-3-dev-def-routing.csv,0.79,0.6,0.81,0.45,0.51,0.57,1.08,0.9,0.83,0.73,0.76,0.83,0.73,0.01,0.69,0.7
openxava.csv,0.81,0.77,0.7,0.94,0.85,0.94,0.06,0.63,0.54,0.65,0.69,0.71,0.64,0.69,0.68,0.62
phonon-vlc-mplayer.csv,0.72,0.63,0.71,0.02,0.72,0.71,0.74,0.72,0.84,0.75,0.31,0.81,0.61,0.71,0.65,0.54
qgis.csv,0.71,0.06,0.65,0.5,0.94,0.76,0.93,0.6,0.49,0.95,0.76,0.74,0.58,0.61,0.53,0.54
vars-redux.csv,0.71,0.79,0.86,0.81,0.87,0.8,0.6,0.79,0.03,0.88,0.82,0.77,0.78,0.81,0.82,0.84
xapian.csv,0.69,0.54,0.85,0.45,0.79,0.77,0.73,0.86,0.55,0.82,0.71,0.72,0.73,0.55,0.0,0.63
yafdotnet.csv,0.67,0.75,0.67,0.58,0.73,0.63,0.79,0.99,0.78,0.66,0.73,0.64,0.03,0.6,0.83,0.61
